root;fsync;synchronousCommit;fullPageWrites;trackActivities;trackCounts;sharedBuffers_64;sharedBuffers_128;sharedBuffers_256;sharedBuffers;tempBuffers_2;tempBuffers_8;tempBuffers_32;tempBuffers;workMem_256;workMem_1024;workMem_4096;workMem;revision;performance;cpu
1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;0.039131;0.031652
1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;0.017424;0.032865
1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;0.03464;0.047596
1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;0.032568;0.036952
1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;0.017251;0.019427
1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;0.02924;0.03661
1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;0.028542;0.036623
1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;0.017856;0.02666
1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;0.049397;0.059621
1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;0.025089;0.029256
1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;0.033002;0.035223
1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;0.009239;0.028188
1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;0.022815;0.039079
1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;0.027083;0.159735
1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;0.020744;0.055127
1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;0.073659;0.049289
1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;0.054772;0.075012
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;0.017187;0.03764
1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;0.032266;0.040659
1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;0.032912;0.041766
1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;0.022413;0.023807
1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;0.034532;0.013398
1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;0.025842;0.03733
1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;0.055501;0.080224
1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;0.021528;0.029517
1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;0.015035;0.024148
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;0.038187;0.045162
1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;0.031503;0.026055
1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;0.021071;0.042636
1;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;0.018811;0.023497
1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;0.034607;0.043544
1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;0.025154;0.033178
1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;0.015795;0.020891
1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;0.015369;0.024474
1;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;0.047905;0.041924
1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;0.027468;0.013897
1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;0.032515;0.032777
1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;0.033382;0.043969
1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;0.020661;0.042806
1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;8.3.0;0.029693;0.033027
1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;8.3.0;0.03349;0.03941
1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;8.3.0;0.006914;0.054584
1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;8.3.0;0.026911;0.028693
1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;8.3.0;0.015011;0.07954
1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;8.3.0;0.031443;0.019752
1;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;8.3.0;0.028313;0.024028
1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;8.3.0;0.033477;0.052644
1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;8.3.0;0.009865;0.151323
1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;8.3.0;0.030574;0.039276
1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;8.3.0;0.015553;0.02971
1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;8.3.0;0.031228;0.04365
1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;8.3.0;0.026054;0.031106
1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;1;8.3.0;0.025533;0.017587
1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;8.3.0;0.036512;0.045744
1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;8.3.0;0.012808;0.045098
1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;8.3.0;0.032937;0.023779
1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;8.3.0;0.032262;0.035673
1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;8.3.0;0.023442;0.032564
1;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;8.3.0;0.024923;0.051482
1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;8.3.0;0.032694;0.038567
1;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;1;8.3.0;0.025337;0.067346
1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;1;8.3.0;0.033758;0.033007
1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;8.3.0;0.029646;0.039288
1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;8.3.0;0.030759;0.025526
1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;8.3.0;0.028263;0.02883
1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;1;8.3.0;0.036779;0.024909
