revision,performance
8.3.0,117.27226666666667
8.3.5,118.21373333333334
8.4.0,128.81086666666664
8.4.2,126.62746666666668
9.0.0,129.953
9.0.4,71.70819999999999
9.1.0,64.21546666666667
9.1.3,62.85953333333333
9.2.0,71.29973333333334
9.2.4,70.49306666666666
9.3.0,65.66486666666665
9.3.4,64.14686666666667
9.4.0,64.38593333333333
9.4.4,67.3172
9.5.0,66.03986666666665
9.5.3,66.87180000000001
9.6.0,65.88273333333333
9.6.3,73.31593333333333
10.0,68.38173333333334
10.4,68.59666666666668
11.0,67.39393333333334
11.2,67.25813333333333
