,revision,performance,cpu
150,8.3.0,55.6488,2.86343
151,8.3.0,55.7232,2.904505
152,8.3.0,56.3604,2.831818
153,8.3.0,57.0702,3.196713
154,8.3.0,55.6268,2.914681
155,8.3.0,56.692800000000005,2.780772
156,8.3.0,56.5458,2.82509
157,8.3.0,55.600199999999994,2.859516
158,8.3.0,56.793800000000005,2.870703
159,8.3.0,56.7616,2.812329
160,8.3.0,56.3536,2.82709
161,8.3.0,55.9124,2.844258
162,8.3.0,57.530199999999994,3.263539
163,8.3.0,57.3936,3.218068
164,8.3.0,57.159800000000004,2.908808
165,8.3.0,57.3172,2.877221
166,8.3.0,57.346199999999996,2.909063
167,8.3.0,57.5474,2.868738
168,8.3.0,57.520199999999996,2.843414
169,8.3.0,57.8958,2.921132
170,8.3.0,57.1638,2.87906
171,8.3.0,57.6836,2.854074
172,8.3.0,57.9808,2.858987
173,8.3.0,57.4174,2.847966
174,8.3.0,57.8408,2.871181
175,8.3.0,57.435199999999995,2.881
176,8.3.0,56.5084,2.91287
177,8.3.0,57.191199999999995,2.892426
178,8.3.0,57.5268,2.947572
179,8.3.0,57.0882,2.959098
180,8.3.0,57.0206,2.841416
181,8.3.0,57.415,2.886698
182,8.3.0,57.062599999999996,2.915228
183,8.3.0,56.351,2.89759
184,8.3.0,57.7104,2.871574
185,8.3.0,57.0502,2.929865
186,8.3.0,56.5056,2.895688
187,8.3.0,57.598800000000004,2.898214
188,8.3.0,57.063,2.910684
189,8.3.0,56.7188,2.930446
190,8.3.0,57.273199999999996,2.905661
191,8.3.0,57.995599999999996,2.962258
192,8.3.0,56.8108,2.941262
193,8.3.0,57.4168,2.929323
194,8.3.0,57.787,2.886435
195,8.3.0,57.4372,2.906323
196,8.3.0,56.7548,3.052738
197,8.3.0,57.1416,2.881088
198,8.3.0,57.3964,2.90325
199,8.3.0,56.837,2.912443
200,8.3.0,57.1476,2.89281
201,8.3.0,57.0994,2.882134
202,8.3.0,57.0488,2.885588
203,8.3.0,57.291,2.946495
204,8.3.0,56.3632,2.903506
205,8.3.0,57.104800000000004,2.884147
206,8.3.0,57.4804,2.861144
207,8.3.0,56.3564,2.920664
208,8.3.0,57.4582,2.87472
209,8.3.0,57.4586,2.873542
210,8.3.0,57.306400000000004,2.92473
211,8.3.0,57.374199999999995,2.923903
212,8.3.0,57.257,2.929253
213,8.3.0,56.165800000000004,2.943414
214,8.3.0,57.888400000000004,2.905857
215,8.3.0,57.4294,2.893635
216,8.3.0,55.879,2.821988
217,8.3.0,55.73,2.835364
218,8.3.0,56.6382,2.870163
219,8.3.0,56.1328,2.809934
220,8.3.0,55.5444,2.855554
221,8.3.0,56.2446,2.845723
222,8.3.0,56.0906,2.854961
223,8.3.0,55.767199999999995,2.837926
224,8.3.0,56.2872,2.834978
225,8.3.0,56.4654,2.885705
226,8.3.0,56.1164,2.809467
227,8.3.0,55.913599999999995,2.893509
228,8.3.0,56.204800000000006,2.835673
229,8.3.0,56.353199999999994,2.814106
230,8.3.0,57.0316,2.793298
231,8.3.0,56.2412,2.819521
232,8.3.0,55.9138,2.821288
233,8.3.0,56.139,2.832735
234,8.3.0,56.2318,2.844502
235,8.3.0,56.9506,2.816435
236,8.3.0,55.8672,2.852785
237,8.3.0,56.3332,2.811846
238,8.3.0,56.4074,2.791756
239,8.3.0,56.7706,2.830779
240,8.3.0,55.845800000000004,2.83337
241,8.3.0,56.2346,2.905466
242,8.3.0,56.104800000000004,2.852806
243,8.3.0,55.873400000000004,2.872214
244,8.3.0,56.2316,2.877121
245,8.3.0,56.172599999999996,2.824722
246,8.3.0,56.376,2.853548
247,8.3.0,55.692800000000005,2.852577
248,8.3.0,56.9852,2.802591
249,8.3.0,56.153,2.870431
250,8.3.0,55.562400000000004,2.894055
251,8.3.0,56.8642,2.848439
252,8.3.0,56.5808,2.854264
253,8.3.0,56.7106,2.810964
254,8.3.0,55.382400000000004,2.818393
255,8.3.0,56.6036,3.204664
256,8.3.0,56.56,2.862464
257,8.3.0,56.0986,2.793795
258,8.3.0,57.0048,2.857222
259,8.3.0,56.360800000000005,2.797986
260,8.3.0,57.3376,2.77489
261,8.3.0,56.1744,2.797171
262,8.3.0,56.8324,2.7873
263,8.3.0,56.0338,2.866173
264,8.3.0,56.436,2.813045
265,8.3.0,56.782599999999995,2.804141
266,8.3.0,56.836800000000004,2.826219
267,8.3.0,55.7188,2.801763
268,8.3.0,56.5496,2.909232
269,8.3.0,56.2874,2.826808
270,8.3.0,57.1012,2.980708
271,8.3.0,57.2386,2.80152
272,8.3.0,57.086400000000005,2.885349
273,8.3.0,56.775800000000004,2.905935
274,8.3.0,57.7992,2.825136
275,8.3.0,57.018,2.9748
276,8.3.0,57.5166,2.985931
277,8.3.0,57.763400000000004,2.93765
278,8.3.0,57.497,2.891498
279,8.3.0,57.532599999999995,2.825721
280,8.3.0,57.1424,2.861411
281,8.3.0,56.6712,2.892307
282,8.3.0,57.9324,2.879619
283,8.3.0,57.046,2.907466
284,8.3.0,56.596,2.888073
285,8.3.0,56.8168,2.92631
286,8.3.0,57.6432,2.877563
287,8.3.0,57.6532,2.874381
288,8.3.0,57.819,2.892156
289,8.3.0,57.686800000000005,2.820888
290,8.3.0,56.9758,2.894714
