root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads;arnrMaxFrames;arnrStrength;revision;performance
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1.6.0;60172.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;1.6.0;60265.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;0;0;1.6.0;60763.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;0;0;1.6.0;60504.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;5;0;1.6.0;60500.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;5;0;1.6.0;60543.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;5;0;1.6.0;60726.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;5;0;1.6.0;60877.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;15;0;1.6.0;60340.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;15;0;1.6.0;60645.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;15;0;1.6.0;60706.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;15;0;1.6.0;60435.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;0;3;1.6.0;60565.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;0;3;1.6.0;60372.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;0;3;1.6.0;60573.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;0;3;1.6.0;60373.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;5;3;1.6.0;60838.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;5;3;1.6.0;60482.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;5;3;1.6.0;60783.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;5;3;1.6.0;60338.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;15;3;1.6.0;60528.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;15;3;1.6.0;60374.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;15;3;1.6.0;60673.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;15;3;1.6.0;60167.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;0;6;1.6.0;60416.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;0;6;1.6.0;60496.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;0;6;1.6.0;60559.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;0;6;1.6.0;60452.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;5;6;1.6.0;60539.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;5;6;1.6.0;60471.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;5;6;1.6.0;60646.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;5;6;1.6.0;60641.000000
1;0;1;0;0;1;0;0;0;0;0;0;1;15;6;1.6.0;60305.000000
1;0;1;0;0;1;0;0;0;0;0;0;2;15;6;1.6.0;60431.000000
1;0;1;0;0;1;0;0;0;0;0;0;4;15;6;1.6.0;60523.000000
1;0;1;0;0;1;0;0;0;0;0;0;8;15;6;1.6.0;60562.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1.6.0;60338.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;0;0;1.6.0;60685.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;0;0;1.6.0;60320.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;0;0;1.6.0;60315.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;5;0;1.6.0;60520.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;5;0;1.6.0;60355.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;5;0;1.6.0;60866.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;5;0;1.6.0;60352.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;15;0;1.6.0;60560.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;15;0;1.6.0;60531.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;15;0;1.6.0;60451.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;15;0;1.6.0;60372.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;0;3;1.6.0;60434.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;0;3;1.6.0;60612.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;0;3;1.6.0;60419.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;0;3;1.6.0;60708.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;5;3;1.6.0;60337.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;5;3;1.6.0;60561.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;5;3;1.6.0;60972.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;5;3;1.6.0;60728.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;15;3;1.6.0;60315.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;15;3;1.6.0;60492.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;15;3;1.6.0;60454.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;15;3;1.6.0;60445.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;0;6;1.6.0;60406.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;0;6;1.6.0;60450.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;0;6;1.6.0;60529.000000
1;0;1;0;0;1;0;0;0;0;0;1;8;0;6;1.6.0;60352.000000
1;0;1;0;0;1;0;0;0;0;0;1;1;5;6;1.6.0;60426.000000
1;0;1;0;0;1;0;0;0;0;0;1;2;5;6;1.6.0;60590.000000
1;0;1;0;0;1;0;0;0;0;0;1;4;5;6;1.6.0;60498.000000
