,revision,performance,size,cpu
86,v1.3.0,157.44379999999998,238718,3.556556
87,v1.3.0,157.42079999999999,238718,3.504046
88,v1.3.0,157.50420000000003,238718,3.555803
89,v1.3.0,157.7502,238718,3.560581
90,v1.3.0,157.41479999999999,238718,3.53715
91,v1.3.0,157.327,238718,3.552545
92,v1.3.0,157.47420000000002,238718,3.533657
93,v1.3.0,157.55960000000002,238718,3.624961
94,v1.3.0,157.73620000000003,238718,3.524125
95,v1.3.0,157.2044,238718,3.396521
96,v1.3.0,157.6352,238718,3.45
97,v1.3.0,157.26379999999997,238718,3.471538
98,v1.3.0,157.5162,238718,3.542499
99,v1.3.0,157.59720000000002,238718,3.548325
100,v1.3.0,157.494,238718,3.525891
101,v1.3.0,157.4522,238718,3.569704
102,v1.3.0,157.626,238718,3.550357
103,v1.3.0,157.76979999999998,238718,3.554114
104,v1.3.0,157.6318,238718,3.563314
105,v1.3.0,157.1768,238718,3.538529
106,v1.3.0,157.6592,238718,3.539312
107,v1.3.0,157.3534,238718,3.566405
108,v1.3.0,158.3808,238631,3.534063
109,v1.3.0,158.4822,238631,3.42143
110,v1.3.0,158.29979999999998,238631,3.438855
111,v1.3.0,158.374,238631,3.381554
112,v1.3.0,158.1078,238631,3.443395
113,v1.3.0,157.8616,238631,3.567486
114,v1.3.0,158.1404,238631,3.532356
115,v1.3.0,158.07,238631,3.576178
116,v1.3.0,158.251,238631,3.675807
117,v1.3.0,158.1476,238631,3.634371
118,v1.3.0,158.304,238631,3.590523
119,v1.3.0,158.0104,238631,3.527644
120,v1.3.0,158.2134,238631,3.529936
121,v1.3.0,158.0976,238631,3.548941
122,v1.3.0,157.8264,238631,3.537135
123,v1.3.0,158.1706,238631,3.432319
124,v1.3.0,157.97060000000002,238631,3.399439
125,v1.3.0,158.0926,238631,3.407261
126,v1.3.0,158.2188,238631,3.516281
127,v1.3.0,157.7994,238631,3.519252
128,v1.3.0,157.87079999999997,238631,3.549396
129,v1.3.0,158.2156,238631,3.548342
130,v1.3.0,157.4364,238631,3.555921
131,v1.3.0,158.219,238631,3.624975
132,v1.3.0,157.9836,238631,3.555094
133,v1.3.0,157.9566,238631,3.567959
134,v1.3.0,158.235,238631,3.61706
135,v1.3.0,158.001,238631,3.564458
136,v1.3.0,158.3766,238631,3.515198
137,v1.3.0,158.2356,238631,3.36646
138,v1.3.0,158.4504,238631,3.412994
139,v1.3.0,157.905,238631,3.49589
140,v1.3.0,158.1284,238631,3.553579
141,v1.3.0,158.2456,238631,3.550899
142,v1.3.0,158.064,238631,3.535434
143,v1.3.0,158.3196,238631,3.557205
144,v1.3.0,159.00820000000002,238341,3.540326
145,v1.3.0,159.11339999999998,238341,3.541768
146,v1.3.0,158.7184,238341,3.542459
147,v1.3.0,158.4004,238341,3.564389
148,v1.3.0,158.9156,238341,3.551881
149,v1.3.0,158.3776,238341,3.542033
150,v1.3.0,158.7152,238341,3.575455
151,v1.3.0,158.904,238341,3.429024
152,v1.3.0,159.3088,238341,3.378414
153,v1.3.0,158.58079999999998,238341,3.499351
154,v1.3.0,158.99460000000002,238341,3.618734
155,v1.3.0,158.41420000000002,238341,3.536172
156,v1.3.0,158.6358,238341,3.63335
157,v1.3.0,158.325,238341,3.57413
158,v1.3.0,159.02939999999998,238341,3.51358
159,v1.3.0,158.3386,238341,3.522831
160,v1.3.0,158.6106,238341,3.546726
161,v1.3.0,158.91279999999998,238341,3.54995
162,v1.3.0,158.78539999999998,238341,3.544393
163,v1.3.0,158.97820000000002,238341,3.482782
164,v1.3.0,158.39520000000002,238341,3.416304
165,v1.3.0,158.8326,238341,3.458111
166,v1.3.0,158.76579999999998,238341,3.475494
167,v1.3.0,158.3818,238341,3.542892
168,v1.3.0,158.45839999999998,238341,3.626854
169,v1.3.0,158.55360000000002,238341,3.520033
170,v1.3.0,158.5648,238341,3.538962
171,v1.3.0,158.82,238341,3.557828
172,v1.3.0,158.68439999999998,238341,3.549402
173,v1.3.0,158.49939999999998,238341,3.527379
174,v1.3.0,158.4278,238341,3.572967
175,v1.3.0,158.8544,238341,3.607848
176,v1.3.0,158.8136,238341,3.543284
177,v1.3.0,158.4256,238341,3.544574
178,v1.3.0,158.742,238341,3.44186
179,v1.3.0,158.71020000000001,238341,3.401958
180,v1.3.0,158.6024,237487,3.43451
181,v1.3.0,158.5094,237487,3.573929
182,v1.3.0,158.6968,237487,3.547358
183,v1.3.0,158.74939999999998,237487,3.609416
184,v1.3.0,158.34320000000002,237487,3.529024
185,v1.3.0,158.48860000000002,237487,3.550801
186,v1.3.0,158.7308,237487,3.572934
187,v1.3.0,158.1806,237487,3.559108
188,v1.3.0,158.4868,237487,3.656391
189,v1.3.0,158.7138,237487,3.549926
190,v1.3.0,158.6658,237487,3.547797
191,v1.3.0,158.76520000000002,237487,3.507884
192,v1.3.0,159.1836,237487,3.406034
193,v1.3.0,158.607,237487,3.423942
194,v1.3.0,158.33,237487,3.378217
195,v1.3.0,158.5232,237487,3.538222
196,v1.3.0,158.74079999999998,237487,3.621013
197,v1.3.0,158.7686,237487,3.544837
198,v1.3.0,158.4254,237487,3.585407
199,v1.3.0,158.65079999999998,237487,3.564968
200,v1.3.0,158.95479999999998,237487,3.536026
201,v1.3.0,158.61939999999998,237487,3.538867
202,v1.3.0,159.24,237487,3.559789
203,v1.3.0,158.7414,237487,3.537762
204,v1.3.0,158.32739999999998,237487,3.506876
205,v1.3.0,158.902,237487,3.491667
206,v1.3.0,158.7136,237487,3.410612
207,v1.3.0,158.6548,237487,3.3804
208,v1.3.0,158.559,237487,3.421145
209,v1.3.0,158.4948,237487,3.54966
210,v1.3.0,158.6144,237487,3.54389
211,v1.3.0,158.63479999999998,237487,3.544339
212,v1.3.0,158.84179999999998,237487,3.580737
213,v1.3.0,158.7512,237487,3.563935
214,v1.3.0,158.9866,237487,3.548608
215,v1.3.0,158.7332,237487,3.558983
216,v1.3.0,157.3174,238718,3.549592
217,v1.3.0,157.665,238718,3.576855
218,v1.3.0,157.51739999999998,238718,3.567246
219,v1.3.0,157.3846,238718,3.557949
220,v1.3.0,157.14260000000002,238718,3.527687
221,v1.3.0,157.514,238718,3.402518
222,v1.3.0,157.3646,238718,3.510585
223,v1.3.0,157.5514,238718,3.525842
224,v1.3.0,157.1396,238718,3.62456
225,v1.3.0,157.4194,238718,3.636735
226,v1.3.0,157.3052,238718,3.543847
227,v1.3.0,157.7136,238718,3.577812
228,v1.3.0,157.3826,238718,3.572656
229,v1.3.0,157.6142,238718,3.554242
230,v1.3.0,157.4568,238718,3.562665
231,v1.3.0,157.736,238718,3.679849
232,v1.3.0,157.7966,238718,3.547083
233,v1.3.0,157.9496,238718,3.474838
234,v1.3.0,157.1838,238718,3.451704
235,v1.3.0,157.67579999999998,238718,3.452169
236,v1.3.0,157.0784,238718,3.443461
237,v1.3.0,157.2936,238718,3.54714
238,v1.3.0,157.6072,238718,3.633802
239,v1.3.0,157.109,238718,3.556179
240,v1.3.0,157.4748,238718,3.547956
241,v1.3.0,157.519,238718,3.54551
242,v1.3.0,157.577,238718,3.528658
243,v1.3.0,157.13279999999997,238718,3.547564
244,v1.3.0,157.3596,238718,3.554059
245,v1.3.0,157.31560000000002,238718,3.539939
246,v1.3.0,157.2724,238718,3.530018
247,v1.3.0,157.3174,238718,3.466213
248,v1.3.0,157.51479999999998,238718,3.494779
249,v1.3.0,157.458,238718,3.484645
250,v1.3.0,157.2392,238718,3.504849
251,v1.3.0,157.4334,238718,3.550127
252,v1.3.0,158.1524,238631,3.53165
253,v1.3.0,158.3344,238631,3.544046
254,v1.3.0,158.129,238631,3.566449
255,v1.3.0,158.29479999999998,238631,3.530929
256,v1.3.0,158.02439999999999,238631,3.535287
257,v1.3.0,158.2092,238631,3.538833
258,v1.3.0,158.048,238631,3.534408
259,v1.3.0,158.333,238631,3.531045
260,v1.3.0,158.0136,238631,3.519745
261,v1.3.0,158.0704,238631,3.404892
262,v1.3.0,157.878,238631,3.394107
263,v1.3.0,158.05939999999998,238631,3.413982
264,v1.3.0,157.9374,238631,3.532712
265,v1.3.0,157.8324,238631,3.544396
266,v1.3.0,158.41279999999998,238631,3.546507
267,v1.3.0,158.3522,238631,3.527006
268,v1.3.0,157.9482,238631,3.54
269,v1.3.0,157.948,238631,3.52901
270,v1.3.0,158.4024,238631,3.534131
271,v1.3.0,157.9348,238631,3.585884
272,v1.3.0,158.1602,238631,3.525396
273,v1.3.0,158.41060000000002,238631,3.634767
274,v1.3.0,157.92079999999999,238631,3.548308
275,v1.3.0,158.1526,238631,3.51527
276,v1.3.0,158.4324,238631,3.547985
277,v1.3.0,157.953,238631,3.500018
278,v1.3.0,158.287,238631,3.487413
279,v1.3.0,158.121,238631,3.473771
280,v1.3.0,157.953,238631,3.543661
281,v1.3.0,158.0406,238631,3.548274
282,v1.3.0,158.2312,238631,3.533242
283,v1.3.0,158.08079999999998,238631,3.550064
284,v1.3.0,158.50220000000002,238631,3.542464
285,v1.3.0,157.6976,238631,3.534068
286,v1.3.0,158.4856,238631,3.670697
287,v1.3.0,157.9296,238631,3.541049
288,v1.3.0,152.0702,212619,3.58702
289,v1.3.0,152.133,212619,3.575909
290,v1.3.0,152.5614,212619,3.566906
291,v1.3.0,152.1982,212619,3.567734
292,v1.3.0,152.1584,212619,3.420342
293,v1.3.0,152.4054,212619,3.462699
294,v1.3.0,151.99820000000003,212619,3.431239
295,v1.3.0,152.5556,212619,3.60903
296,v1.3.0,151.9688,212619,3.568381
297,v1.3.0,152.17620000000002,212619,3.562035
298,v1.3.0,151.90079999999998,212619,3.569119
299,v1.3.0,152.115,212619,3.560588
300,v1.3.0,152.1376,212619,3.572432
301,v1.3.0,152.3282,212619,3.656043
302,v1.3.0,152.6826,212619,3.566703
303,v1.3.0,152.148,212619,3.553907
304,v1.3.0,152.1552,212619,3.639835
305,v1.3.0,152.28779999999998,212619,3.577757
306,v1.3.0,152.2688,212619,3.552836
307,v1.3.0,152.68079999999998,212619,3.515346
308,v1.3.0,152.1678,212619,3.56071
309,v1.3.0,152.2074,212619,3.533327
310,v1.3.0,152.03879999999998,212619,3.42705
311,v1.3.0,151.9698,212619,3.422664
312,v1.3.0,151.965,212619,3.403782
313,v1.3.0,152.0794,212619,3.569876
314,v1.3.0,152.0282,212619,3.566015
315,v1.3.0,151.9256,212619,3.572116
316,v1.3.0,152.041,212619,3.563417
317,v1.3.0,152.5842,212619,3.52774
318,v1.3.0,152.4116,212619,3.561522
319,v1.3.0,151.8264,212619,3.578422
320,v1.3.0,152.12179999999998,212619,3.569473
321,v1.3.0,152.563,212619,3.549399
322,v1.3.0,152.1394,212619,3.578034
323,v1.3.0,152.43120000000002,212619,3.493844
324,v1.3.0,152.38420000000002,212945,3.457348
325,v1.3.0,152.312,212945,3.392583
326,v1.3.0,152.20020000000002,212945,3.518444
327,v1.3.0,152.111,212945,3.579404
328,v1.3.0,152.3724,212945,3.546408
329,v1.3.0,152.21720000000002,212945,3.574465
330,v1.3.0,152.3114,212945,3.557655
331,v1.3.0,152.7852,212945,3.564492
332,v1.3.0,152.10920000000002,212945,3.553378
333,v1.3.0,152.4294,212945,3.562244
334,v1.3.0,152.3434,212945,3.554019
335,v1.3.0,152.24579999999997,212945,3.626593
