,revision,performance,cpu,benchmark-energy,fixed-energy,benchmark-power,fixed-power
14102,2.3.5,58653.4,7.967381,1828.2,5424.581304,31.072958,22.623407
14103,2.3.5,60416.0,9.209863,1903.4,5464.679851,31.527424,23.048914
14104,2.3.5,58386.4,7.784076,1789.8,5377.344676,30.652029,22.45031
14105,2.3.5,58405.2,7.605173,1823.4,5411.098585,31.030536,22.484724
14106,2.3.5,60194.4,9.170168,1866.8,5399.267229,30.838946,22.52357
14107,2.3.5,60485.8,9.378169,1887.4,5420.505166,31.238212,22.697842
14108,2.3.5,58190.8,7.682656,1788.2,5369.39155,30.732334,22.313105
14109,2.3.5,58356.8,7.603092,1805.8,5429.843617,30.983899,22.725809
14110,2.3.5,58065.4,7.490684,1817.2,5369.26372,31.065192,22.387803
14111,2.3.5,58472.2,7.701609,1830,5465.08946,31.264373,22.75871
14112,2.3.5,79117.0,18.162171,2644.2,5871.760002,33.36395,24.479589
14113,2.3.5,73726.2,16.662633,2456,5757.080673,33.174941,24.020405
14114,2.3.5,68175.2,14.374663,2251.2,5609.538094,32.757446,23.290197
14115,2.3.5,79050.4,17.965401,2678,5888.437296,33.915389,24.566291
14116,2.3.5,73474.8,16.442854,2444.2,5724.550214,33.155427,23.797977
14117,2.3.5,68370.4,14.444649,2275.2,5679.227588,32.821386,23.446108
14118,2.3.5,79037.4,18.003768,2624.4,5805.001727,33.323772,24.296759
14119,2.3.5,73187.4,16.534521,2448,5768.893859,33.357784,24.197185
14120,2.3.5,68132.8,14.397078,2231.4,5592.745153,32.630982,23.339474
14121,2.3.5,79112.0,17.934904,2689.2,5805.763536,33.918159,24.426703
14122,2.3.5,73491.2,16.438068,2408.4,5695.472107,32.809696,23.682842
14123,2.3.5,68200.8,14.505882,2300.4,5719.899998,33.3743,23.678487
14124,2.3.5,78998.0,18.095741,2652.4,5786.424385,33.507896,24.225421
14125,2.3.5,73619.6,16.466153,2458.4,5735.157723,33.265854,23.999923
14126,2.3.5,68092.2,14.387941,2248.4,5590.060532,32.704779,23.264232
14127,2.3.5,79142.4,17.872736,2697.6,5895.94683,34.080346,24.614036
14128,2.3.5,73520.8,16.428467,2419.8,5694.713746,32.757272,23.611239
14129,2.3.5,68207.4,14.3907,2237,5621.647108,32.673684,23.463289
14130,2.3.5,100947.8,25.14238,3492,6287.414646,34.639846,26.259746
14131,2.3.5,96996.6,24.641542,3357.8,6243.674802,34.600292,25.999018
14132,2.3.5,92353.6,23.979259,3160.2,6074.392286,34.039411,25.273818
14133,2.3.5,100142.6,24.961414,3420.4,6161.180406,34.07083,25.618231
14134,2.3.5,94941.8,24.148229,3252.8,6193.717978,34.013603,25.638851
14135,2.3.5,89809.4,23.003063,3090,6097.846368,34.368274,25.393726
14136,2.3.5,100466.6,24.969394,3444.8,6199.175535,34.197579,25.786191
14137,2.3.5,95116.2,23.982992,3215.8,6040.73253,33.82347,25.207935
14138,2.3.5,90043.4,23.092116,3085.6,6058.736725,34.117568,25.194787
14139,2.3.5,125547.8,26.887584,4402.4,6677.889026,35.054634,27.82221
14140,2.3.5,117816.4,25.773532,4014.4,6397.043407,34.157752,26.880416
14141,2.3.5,112010.4,24.695315,3795.8,6311.314208,33.874529,26.307565
14142,2.3.5,125262.2,26.664484,4344.6,6655.017546,34.593936,27.699527
14143,2.3.5,118068.2,25.987212,4100.2,6561.323621,34.75403,27.394289
14144,2.3.5,112168.4,24.700795,3836.2,6366.88405,34.032556,26.429711
14145,2.3.5,99887.4,24.812848,3431.2,6202.107164,34.285747,25.825681
14146,2.3.5,94847.6,24.062634,3250.8,6126.535928,34.05982,25.435391
14147,2.3.5,90467.0,23.112071,3099.6,6091.031159,34.12695,25.257998
14148,2.3.5,100521.2,25.102037,3399,6141.197787,34.026034,25.803042
14149,2.3.5,95229.4,24.296273,3203.6,6111.780715,33.6314,25.376978
