revision,performance
2.1.0,54836.4
2.2.0,54865.6
2.2.1,55169.4
2.2.2,54591.2
2.2.3,54513.4
2.2.4,54472.2
2.2.5,54236.0
2.2.6,54689.8
2.2.7,54458.0
2.2.8,54087.2
2.2.9,53608.0
2.3.0,54447.4
2.3.1,54013.8
2.3.2,54006.4
2.3.3,54085.6
2.3.4,54158.4
2.3.5,54676.6
2.4.0,54039.6
2.4.1,54195.4
