revision;innodbFlushMethod;delayedInnodbLogFlush;dsyncFlush;directFlush;delayedInnodbLogWrite * dsyncFlush;delayedInnodbLogWrite * directFlush;delayedInnodbLogFlush * dsyncFlush;delayedInnodbLogFlush * directFlush;innodbBufferPoolSize_64;innodbBufferPoolSize_512;delayedInnodbLogWrite;delayedInnodbLogFlush * innodbBufferPoolSize_64;delayedInnodbLogFlush * innodbBufferPoolSize_512;innodbBufferPoolSize_64 * innodbDoubleWrite;innodbBufferPoolSize_512 * innodbDoubleWrite;delayedInnodbLogFlush * innodbBufferPoolSize_64 * innodbDoubleWrite;delayedInnodbLogFlush * innodbBufferPoolSize_512 * innodbDoubleWrite;delayedInnodbLogFlush * delayedInnodbLogWrite * dsyncFlush;delayedInnodbLogFlush * delayedInnodbLogWrite * directFlush;delayedInnodbLogFlush * dsyncFlush * innodbBufferPoolSize_64;delayedInnodbLogFlush * dsyncFlush * innodbBufferPoolSize_512;delayedInnodbLogFlush * directFlush * innodbBufferPoolSize_64;delayedInnodbLogFlush * directFlush * innodbBufferPoolSize_512;dsyncFlush * innodbBufferPoolSize_64;dsyncFlush * innodbBufferPoolSize_512;directFlush * innodbBufferPoolSize_64;directFlush * innodbBufferPoolSize_512;innodbDoubleWrite;delayedInnodbLogWrite * innodbBufferPoolSize_64;delayedInnodbLogWrite * innodbBufferPoolSize_512;delayedInnodbLogWrite * dsyncFlush * innodbBufferPoolSize_64;delayedInnodbLogWrite * dsyncFlush * innodbBufferPoolSize_512;delayedInnodbLogWrite * directFlush * innodbBufferPoolSize_64;delayedInnodbLogWrite * directFlush * innodbBufferPoolSize_512;binaryLog * delayedInnodbLogWrite;error
10.1.12;134.268097098767;-72.4488088888894;0.787552222221834;-1.34326944444472;-51.1604613888891;-0.226160833332962;101.655488333334;4.32698388888858;-11.7903370987663;-12.1237458024699;-1.36857524691368;8.81103611111162;8.67035203703742;-4.26251691358011;-4.44340061728381;-1.9280788888891;-1.44434296296317;-51.1604613888887;-0.226160833333466;-9.15293611111144;-8.98480222222241;2.23605999999992;0.0465794444444886;-2.51343722222175;-2.23415888888852;-5.22062555555539;-3.48025999999979;6.69290246913557;-1.55366555555569;-0.972845000000128;12.5469699999997;11.9686038888885;0.912528888888677;0.783665555555199;1.74420382716011;5.01812045298137
10.1.14;133.31046925926;-69.688454444445;0.0754149999996028;5.09294111111081;-49.6969144444446;0.637118055555863;101.461351666667;-1.93137555555584;-9.63126537037127;-9.60237537037116;-2.61387296296308;4.48650472222272;4.44102851851895;-6.29733370370354;-5.65376259259241;0.366504999999777;-0.243894814815031;-49.6969144444443;0.637118055555497;-9.00289833333364;-8.4062500000002;4.04105833333329;3.15335333333335;-0.956675555555062;-1.44173499999959;-6.88652111111093;-6.84873722222197;6.30111148148123;1.01710722222213;0.867097777777643;8.76505444444411;9.21358388888852;-2.28442277777803;-0.638447777778119;1.22236592592554;5.16716240830794
10.1.16;133.821110617285;-73.410740555556;1.3661883333329;5.19874888888861;-50.1618719444446;0.107154166666991;101.010677777778;-1.6457261111114;-9.31056024691452;-10.2368713580255;-2.53735629629642;5.68578425925979;7.94288750000043;-7.40212061728376;-7.50021395061711;0.402563703703457;-0.109057222222427;-50.1618719444443;0.107154166666582;-8.28080777777813;-9.14957055555582;2.68571111111105;0.937645555555578;-1.64079666666613;-1.87751944444399;-4.9386449999998;-4.11995555555531;7.35302098765405;0.604437777777717;-0.0425027777778952;9.21456111111075;9.43020333333296;-0.568542777778066;-0.377520555555948;1.44140037036998;5.14441263350097
10.2.6;167.283072962964;-106.25995;1.56355333333308;7.58727055555544;-53.2539063888891;0.559114166667047;106.084464444444;1.60427833333272;-14.4378294444452;-13.5928025925933;-2.58354506172857;12.4988144444446;12.3225081481483;-2.32248444444438;-3.55707592592579;0.769581111110954;1.38964703703681;-53.2539063888887;0.559114166666525;-10.2524555555556;-11.3632288888889;5.19600222222264;4.23582555555589;-2.83271222222197;-2.65390444444427;-12.7999166666669;-12.7842138888889;3.00871296296268;-0.595241666666757;-0.30315944444459;12.0419438888886;12.4223072222219;-0.309331666666995;0.696811666666293;1.44183123456743;11.1259539358255
10.2.7;166.839414567903;-106.958588888889;-0.264998888889114;11.4920677777777;-52.2164936111113;-0.254279166666265;105.554761666667;-2.7781516666673;-15.3955508641982;-15.3309821604945;-1.99039012345694;13.5050249074076;13.3707504629631;-2.25867160493822;-2.51563234567889;-0.101908703703817;0.535891296296064;-52.216493611111;-0.254279166666841;-13.4554616666667;-13.9957572222222;1.94135055555595;2.76190166666704;-0.113891111110885;0.137165555555723;-11.6426433333336;-11.1612094444445;3.43561753086392;0.591177777777696;-0.672595000000146;11.7835344444441;13.6403572222219;2.33391277777746;1.92836055555518;2.14830691357977;11.0581758158095
10.2.11;133.204144814816;-73.4161300000005;1.75443888888853;13.3533411111109;-51.3574916666669;-0.389927499999704;101.424016666667;-5.36779944444476;-13.2431764814823;-12.5541829629637;-0.555847098765526;9.76591870370418;8.70146425925962;-1.03293703703689;-0.911120740740596;-0.199585185185392;-0.371568518518709;-51.3574916666665;-0.38992750000012;-10.2854272222225;-9.68989222222241;4.18349388888881;3.91671277777779;-1.63315055555508;-1.74618944444406;-12.0266166666665;-11.0614027777776;1.23748259259235;-0.77096944444456;-0.256921111111267;11.5785727777775;10.9009405555552;0.272233333333133;-0.435137222222527;1.56175975308603;4.55146217979604
10.2.14;139.169964876545;-79.5844516666672;-4.93886555555601;8.75611611111081;-54.039305277778;0.252023611111447;113.754937222222;0.0769322222219853;-14.4812378395071;-14.8678220987663;-1.39122783950629;12.0421637037042;12.3320688888894;-2.66812654320971;-1.85350246913562;1.05574259259238;-0.275748888889097;-54.0393052777776;0.252023611110992;-17.9102338888893;-16.9248272222225;4.4103283333332;3.37991111111104;3.23738944444498;2.95174055555599;-12.9637711111109;-10.8780261111108;3.39270246913552;-0.0924172222223421;0.378395555555398;14.1332211111108;12.5858299999997;0.765139444444225;-0.94107000000032;1.4600423456786;5.09831642386448
10.3.8;139.78167506173;-79.293040555556;-1.63551500000034;13.1435255555553;-52.4342480555558;-0.0486355555552365;106.602285;-3.67027000000031;-13.3181017283959;-14.281728950618;-1.17294444444452;11.3866587962968;12.2834530555559;-2.30401432098754;-2.59298432098751;0.146256851851664;0.852970555555368;-52.4342480555554;-0.0486355555557054;-14.0406188888892;-13.8200605555557;4.17369833333329;1.32722888888891;-1.01159666666624;0.217295000000309;-13.1671072222221;-10.7410183333332;3.01167098765407;0.19580944444428;-0.528315555555738;13.6253149999997;12.4201805555553;0.306381111110953;1.01921833333307;2.11660222222182;4.93070389361964
10.3.11;140.414755308643;-78.7609588888894;-3.02283944444484;11.5051505555553;-52.9577869444447;0.46439138888918;108.148677777778;-3.74535777777806;-13.6109195679021;-13.6397986419761;-1.95474370370382;10.8185206481487;11.2749068518522;-2.99710753086403;-2.09558716049368;0.605315370370154;-0.318514814814988;-52.9577869444443;0.464391388888764;-11.9327088888892;-11.9406572222224;5.75374499999994;5.69931555555557;-0.159279444443936;-0.983362222221826;-12.6808099999998;-13.1729155555554;3.35010938271578;0.320758333333213;-0.161769444444597;12.2806505555552;13.0498222222219;-0.305421666666882;-0.223675000000329;1.621287407407;4.85081141025946
10.3.14;136.173875308643;-73.7674277777783;-2.82966166666703;12.5660099999998;-51.1945772222224;0.0646683333336355;103.666779444445;-4.37520777777809;-12.7919264197539;-12.2411673456798;-1.29545907407417;10.8621538888894;9.75203870370408;-3.29412604938256;-3.71332086419738;0.0271044444442512;0.344294814814619;-51.1945772222221;0.064668333333227;-13.6984516666669;-12.152517777778;2.77525777777776;5.95657444444448;0.573588888889355;-1.21460055555519;-12.5133449999999;-13.3695416666665;4.34221827160469;0.136422222222094;0.264942777777613;12.7271077777775;13.1611966666663;0.957608333333134;-2.13515444444474;1.59401481481442;5.0334956679107
