root;tcp;compression;none;lzo;cipher;AES_256_CBC;AES_128_CBC;TCP_NODEAL;prng;prng_none;prng_rsa_sha512;prng_sha512;prng_sha1;auth;auth_none;auth_sha1;auth_sha512;auth_rsa_sha512;reneg_bytes;throughput_server;performance;revision
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;10;0.013318;0.013318;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;30;0.019060;0.019060;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;50;0.004797;0.004797;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;70;0.014419;0.014419;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;10;0.015888;0.015888;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;30;0.010428;0.010428;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;50;0.019057;0.019057;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;70;0.016822;0.016822;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;10;0.010691;0.010691;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;30;0.008819;0.008819;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;50;0.018924;0.018924;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;1;0;0;70;0.005246;0.005246;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;10;0.007032;0.007032;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;30;0.017147;0.017147;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;50;0.008404;0.008404;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;70;0.007598;0.007598;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;10;0.018217;0.018217;2.1.0
1;1;1;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;30;0.027117;0.027117;2.1.0
