root;encryption;aes;blowfish;transactionControl;mvlocks;mvcc;locks;tableType;memoryTables;cachedTables;log;noLog;incrementalBackup;defrag;noDefrag;cacheSize_625;cacheSize_2500;cacheSize_10000;cacheSize;defragLimit_10;defragLimit_50;defragLimit_100;defragLimit;logSize_0;logSize_5;logSize_50;logSize_100;logSize;revision;performance;cpu;benchmark-energy;fixed-energy;benchmark-power;fixed-power
1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;2.1.0;55541.6;6.728938;1810.8;5495.802956;31.941887;22.927851
1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;2.1.0;55221.6;6.029091;1740.4;5346.309839;31.3734;22.294462
1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;2.1.0;55333.4;5.985394;1786.4;5468.686721;31.813346;22.626367
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;2.1.0;56381.4;7.221299;1808.2;5495.88908;31.929928;22.688103
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;2.1.0;54747;5.908067;1760.6;5581.580428;31.971497;23.045904
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;2.1.0;55750;6.14433;1801.4;5547.362484;32.103482;22.865906
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;2.1.0;56034.2;6.827896;1804.8;5435.057456;32.046902;22.571254
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;2.1.0;55261.6;6.067446;1802.2;5496.556168;32.230354;22.902134
1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;2.1.0;54836.4;5.83548;1734.8;5406.687716;31.525657;22.502162
1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;2.1.0;55806.6;6.57726;1781.8;5420.809292;31.62724;22.420173
1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;2.1.0;55205.6;5.967599;1800.6;5554.89946;32.459061;23.016757
1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;1;2.1.0;55275.2;8.01512;1799.4;5615.63963;32.051611;23.368856
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;2.1.0;56089;8.892032;1822.6;5611.84754;32.38551;23.189231
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;2.1.0;55472.6;8.360422;1790.8;5534.328415;32.405923;23.181035
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;2.1.0;55083.6;7.951636;1747.2;5476.81178;31.624907;22.8267
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;2.1.0;56141.6;9.000313;1750;5466.037911;31.665438;22.889857
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;2.1.0;55294.2;8.326909;1742;5478.081671;31.2523;22.720151
1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;2.1.0;55523.8;6.30252;1781;5440.120684;31.843301;22.57845
1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;2.1.0;61395;9.755537;1932.2;5461.445889;31.329387;22.748331
1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;2.1.0;60983;9.345737;1910.8;5464.182916;31.068031;22.641312
1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;2.1.0;61773.8;9.522091;1954;5500.684388;31.382187;22.966006
