revision;quality;twoPass;goodQuality * twoPass;rtQuality * twoPass;constantBitrate * twoPass;constantBitrate;goodQuality;rtQuality;columnTiling * goodQuality;columnTiling * rtQuality;columnTiling;columnTiling * goodQuality * threads_2;columnTiling * rtQuality * threads_2;columnTiling * goodQuality * threads_4;columnTiling * rtQuality * threads_4;columnTiling * goodQuality * threads_8;columnTiling * rtQuality * threads_8;columnTiling * threads_2;columnTiling * threads_4;columnTiling * threads_8;constantBitrate * goodQuality;constantBitrate * rtQuality;columnTiling * constantBitrate;constantBitrate * goodQuality * twoPass;constantBitrate * rtQuality * twoPass;threads_2;threads_4;threads_8;columnTiling * constantBitrate * goodQuality;columnTiling * constantBitrate * rtQuality;columnTiling * goodQuality * twoPass;columnTiling * rtQuality * twoPass;columnTiling * twoPass;arnrMaxFrames_5 * goodQuality;arnrMaxFrames_5 * rtQuality;arnrMaxFrames_15 * goodQuality;arnrMaxFrames_15 * rtQuality;goodQuality * noAltRef;noAltRef * rtQuality;noAltRef;;columnTiling * noAltRef;columnTiling * threads_2 * twoPass;columnTiling * threads_4 * twoPass;columnTiling * threads_8 * twoPass;constantBitrate * noAltRef;columnTiling * constantBitrate * goodQuality * twoPass;columnTiling * constantBitrate * rtQuality * twoPass;arnrMaxFrames_5 * noAltRef;arnrMaxFrames_15 * noAltRef;arnrStrength_3 * noAltRef;arnrStrength_6 * noAltRef;error
v1.3.0;79420.7032673138;122667.288055556;-121995.762569446;-6.56611673016266E-11;16366.7709722223;-6351.550657894;-647.568905335341;-253.863176167117;480.323209063391;427.060544588572;-1260.83133359744;-69.9447368414595;-74.6501461971635;-119.646052630208;-62.245248537447;-42.6105263144054;-12.5608187124449;-30.697903446097;25.7023998379369;-33.2040158019457;348.735380117379;-43.1187865515717;938.413815789646;-5253.62597222122;-1.54844475501144E-10;91.5563829779825;71.2234042549372;69.8537234037427;-809.784649123359;-756.158260232021;2324.32402777825;1.08387538839485E-10;-1342.22628472272;618.013020833564;29.5791666649743;667.898958333812;11.0656249984565;3527.1880208332;6.86341397075164E-14;3201.67361111113;79420.7032673103;518.723611111328;103.296388889582;79.0709722235366;80.2105555563801;4327.60277777822;-310.141666666851;0;0;0;0;0;0.639904202090945
v1.4.0;763816.059797465;319897.254652775;-263927.572013891;-3.01235496602281E-10;-130908.984340282;145169.749817245;-1381718.01380665;-1382648.77231359;-40843.4028874357;-23200.963505126;26630.9266404581;675086.655263163;652954.227631578;675031.335526322;652566.620540935;675387.8381579;652896.184356726;-718734.604995652;-718132.647491294;-717700.354805905;-117513.209539466;-118812.984539486;-22677.481578943;104521.534375006;1.29510038229541E-09;801.221808505476;560.893617017924;-179.660106388599;13735.1635233866;14694.0093567166;61431.0142361149;-2.19704007288437E-09;-34487.4806944394;1928.42031249838;39.3520833341172;2499.14166666453;34.9604166648344;37888.8855902764;1.61737952832567E-14;-50916.1190972183;763816.05979748;10478.5697916663;-56809.3094444443;-57380.2276388888;-57511.0816666674;-15485.6906250062;9896.60055555299;0;0;0;0;0;2.36153659182636
v1.5.0;785252.630759501;442868.230486107;-416297.990138891;-3.23000903294227E-10;-91042.5198958369;154431.621820167;-1526900.91252741;-1433939.39395101;-71461.0820175532;-39612.6036549795;43852.5978925562;776348.744736849;694453.929312865;775884.186842113;693858.537865498;776775.209210533;694457.532383042;-756428.992965355;-755588.261269756;-756596.211165555;-143156.350986833;-127011.896820187;-28617.9769736794;80372.4606250061;1.56643447839321E-09;75.0803191422641;-119.301595749775;214.589893609338;25077.4366959002;19131.8283625634;118746.237708337;-2.70829137332869E-09;-68296.2823263831;844.524999998247;-10.173958332396;612.572395831349;-5.4427083350178;129960.105034721;1.16656521246875E-12;-168139.737152774;785252.630759517;29332.8142361108;-79504.313472221;-79803.6230555546;-80270.6095833335;33808.3218749925;3223.50277777479;0;0;0;0;0;8.4577285373628
v1.6.0;43127.8697487023;40927.4752083337;-17829.5092013894;-6.81894550069086E-11;-17792.398402778;14417.6206505851;-44179.5742233183;-10944.3757858174;-1043.33768274903;365.744791665782;1604.16719119436;21505.9763157897;5412.29788011747;21484.4750000005;5386.55138888906;21534.5723684215;5409.38896198863;-38482.1847004481;-38484.6187056742;-38516.4216452039;-4594.0720394735;1576.84601608108;-1706.1690789473;4623.16437500054;9.6594918790125E-11;40.8340425530576;46.4228723404899;28.1771276594684;-1743.04758771957;-3249.87119883023;2004.9090972226;-1.27176219004049E-10;-2561.65163194452;975.583854166634;9.00104166619424;1513.5864583333;12.4906249994792;7401.80538194447;4.46733083910355E-14;-11530.4267361111;43127.8697487015;-1.19861111103069;-7191.25625000001;-7161.66291666649;-7192.53791666666;3030.62916666653;4190.53291666667;0;0;0;0;0;1.81812160910597
v1.6.1;54079.4079310935;71449.2912847227;-25499.5534375006;2.64849513051697E-11;-18723.2575000002;12098.571673977;-52068.7226699557;-12076.0037463433;-2094.51509502989;1.80244882926922;1787.62432421982;26032.098684211;6405.79517543935;26055.6855263165;6415.50942982491;26068.9394736849;6471.84890350931;-46099.7397971883;-46108.4174676502;-46152.8255583557;-3335.00639619849;1549.61443713342;-611.332236842001;3760.96090277837;1.04002828184805E-10;76.2335106380911;46.8941489361843;51.8877659572326;-2583.55248538054;-3405.0719298243;4007.647430556;-1.85446028607705E-10;-4612.61194444451;-1097.09947916672;-19.5239583340231;-1237.15833333334;-4.89895833407548;12065.5744791666;1.63101288835417E-14;-35278.8;54079.4079310924;5580.50555555573;-15964.0630555554;-15919.3581944441;-15921.4506944443;2048.8506944442;5352.28597222225;0;0;0;0;0;1.69292093537691
v1.7.0;49132.4128544167;58466.3762847227;-18130.9403125004;-6.22801233775082E-11;-18536.895902778;11183.9395102343;-49946.2163559937;-6994.41114765923;-900.088157895224;1133.42019371246;391.989897894661;23265.9078947371;3638.8220029246;23205.0947368427;3577.96264619905;23235.1697368427;3555.62097953258;-41407.3059272741;-41389.6029535279;-41384.7093365066;-6956.45201023363;-299.049232457102;-113.265131578822;13489.8075694449;4.99736967405693E-11;40.9117021274996;80.1930851064534;28.7994680849925;-1118.2043128659;-3560.66264619863;3498.29437500034;-1.29403049935993E-10;-3588.97107638894;885.257812499954;19.1197916660933;388.806770833307;16.8291666660501;5370.15138888883;4.45159926994266E-14;-15905.8340277778;49132.4128544156;5300.58541666681;-13872.3959722222;-13869.8487499998;-13897.80875;-5126.60416666684;68.1656944444892;0;0;0;0;0;1.44998492719154
v1.8.0;55947.4364803032;65149.7747569448;-23559.4117708338;-1.94692388339346E-11;-15645.5641666669;10338.7117324564;-67487.1108004382;-25313.5371893258;-1328.96878655037;767.242726607103;901.673585449063;30753.3157894741;12453.0315058485;30764.081578948;12430.6366228073;30794.2197368427;12438.752923977;-47636.3186807891;-47693.8903462118;-47684.027273859;-5855.11173245576;-1601.17145467943;-551.002631578789;6897.92229166716;9.90989385558138E-11;27.4760638295708;51.3287234042533;17.3021276593567;-987.641812865895;-2718.16125730982;2386.11881944491;-1.80987716800871E-10;-2620.6716666667;1784.64687499995;-7.11354166719942;3378.85729166664;15.7760416660614;13785.1229166666;-5.83802574454146E-15;-28154.1041666666;55947.4364803024;2872.02638888902;-12921.6640277777;-12873.9729166664;-12919.4872222222;-1976.60625000028;3094.97319444445;0;0;0;0;0;2.44886223612387
