root;Workloads;LRA;QF_FP;QF_LRA;QF_UFLRA;well_sorted_check;proof;model_validate;unsat_core;smtlib2_compliant;compact;partial;type_check;revision;performance;memory
1;1;0;0;0;1;0;0;0;0;0;0;0;0;4.3.2;0.035581;0.005505
1;1;0;0;0;1;0;0;0;0;0;0;0;1;4.3.2;0.036876;0.006193
1;1;0;0;0;1;0;0;0;0;0;0;1;0;4.3.2;0.042953;0.003383
1;1;0;0;0;1;0;0;0;0;0;0;1;1;4.3.2;0.035625;0.005239
1;1;0;0;0;1;0;0;0;0;0;1;0;0;4.3.2;0.022159;0.005864
1;1;0;0;0;1;0;0;0;0;0;1;0;1;4.3.2;0.032668;0.002398
1;1;0;0;0;1;0;0;0;0;0;1;1;0;4.3.2;0.026794;0.006904
1;1;0;0;0;1;0;0;0;0;0;1;1;1;4.3.2;0.032316;0.004651
1;1;0;0;0;1;0;0;0;0;1;0;0;0;4.3.2;0.011677;0.007290
1;1;0;0;0;1;0;0;0;0;1;0;0;1;4.3.2;0.025339;0.004052
1;1;0;0;0;1;0;0;0;0;1;0;1;0;4.3.2;0.032774;0.003674
1;1;0;0;0;1;0;0;0;0;1;0;1;1;4.3.2;0.025650;0.005557
1;1;0;0;0;1;0;0;0;0;1;1;0;0;4.3.2;0.041728;0.006008
1;1;0;0;0;1;0;0;0;0;1;1;0;1;4.3.2;0.024574;0.004522
1;1;0;0;0;1;0;0;0;0;1;1;1;0;4.3.2;0.022410;0.007539
1;1;0;0;0;1;0;0;0;0;1;1;1;1;4.3.2;0.045138;0.005567
1;1;0;0;0;1;0;0;0;1;0;0;0;0;4.3.2;0.041125;0.005946
1;1;0;0;0;1;0;0;0;1;0;0;0;1;4.3.2;0.033651;0.003485
1;1;0;0;0;1;0;0;0;1;0;0;1;0;4.3.2;0.020786;0.001796
1;1;0;0;0;1;0;0;0;1;0;0;1;1;4.3.2;0.034599;0.005799
1;1;0;0;0;1;0;0;0;1;0;1;0;0;4.3.2;0.038429;0.002380
