,performance,revision
266,32.468,1.0.0
267,30.59,1.0.0
268,23.482,1.0.0
269,21.65,1.0.0
270,19.734,1.0.0
271,10.482,1.0.0
272,18.132,1.0.0
273,9.678,1.0.0
274,15.982,1.0.0
275,9.814,1.0.0
276,11.708,1.0.0
277,9.706,1.0.0
278,7.438,1.0.0
279,5.832,1.0.0
280,5.768,1.0.0
281,4.37,1.0.0
282,16.634,1.0.0
283,14.452,1.0.0
284,13.134,1.0.0
285,9.528,1.0.0
286,10.664,1.0.0
287,7.442,1.0.0
288,45.186,1.0.0
289,23.282,1.0.0
290,43.272,1.0.0
291,22.51,1.0.0
292,34.732,1.0.0
293,19.898,1.0.0
294,31.118,1.0.0
295,22.108,1.0.0
296,17.878,1.0.0
297,12.758,1.0.0
298,13.502,1.0.0
299,9.292,1.0.0
300,35.166,1.0.0
301,26.784,1.0.0
302,23.142,1.0.0
303,17.208,1.0.0
304,17.756,1.0.0
305,12.632,1.0.0
306,80.926,1.0.0
307,41.118,1.0.0
308,85.808,1.0.0
309,44.37,1.0.0
310,63.37,1.0.0
311,34.73,1.0.0
312,33.658,1.0.0
313,29.052,1.0.0
314,37.282,1.0.0
315,49.876,1.0.0
316,41.72,1.0.0
317,43.134,1.0.0
318,37.176,1.0.0
319,39.694,1.0.0
320,32.704,1.0.0
321,30.576,1.0.0
322,23.52,1.0.0
323,21.588,1.0.0
324,19.85,1.0.0
325,10.43,1.0.0
326,18.138,1.0.0
327,9.6,1.0.0
328,15.996,1.0.0
329,9.76,1.0.0
330,11.776,1.0.0
331,8.606,1.0.0
332,7.394,1.0.0
333,5.22,1.0.0
334,5.736,1.0.0
335,3.882,1.0.0
336,16.646,1.0.0
337,11.128,1.0.0
338,13.214,1.0.0
339,8.186,1.0.0
340,10.652,1.0.0
341,6.514,1.0.0
342,45.272,1.0.0
343,23.272,1.0.0
344,43.286,1.0.0
345,22.472,1.0.0
346,34.756,1.0.0
347,19.894,1.0.0
348,31.246,1.0.0
349,20.792,1.0.0
350,17.918,1.0.0
351,11.716,1.0.0
352,13.546,1.0.0
353,8.642,1.0.0
354,35.074,1.0.0
355,23.046,1.0.0
356,23.286,1.0.0
357,14.582,1.0.0
358,17.796,1.0.0
359,10.964,1.0.0
360,80.83,1.0.0
361,41.034,1.0.0
362,85.846,1.0.0
363,44.32,1.0.0
364,63.378,1.0.0
365,34.514,1.0.0
366,33.604,1.0.0
367,23.61,1.0.0
368,37.3,1.0.0
369,34.624,1.0.0
370,41.73,1.0.0
371,30.216,1.0.0
372,37.182,1.0.0
373,25.558,1.0.0
374,32.558,1.0.0
375,19.832,1.0.0
376,23.526,1.0.0
377,14.314,1.0.0
378,19.706,1.0.0
379,10.378,1.0.0
380,18.056,1.0.0
381,9.66,1.0.0
382,15.984,1.0.0
383,9.7,1.0.0
384,11.746,1.0.0
385,8.538,1.0.0
386,7.374,1.0.0
387,5.202,1.0.0
388,5.734,1.0.0
389,3.898,1.0.0
390,16.598,1.0.0
391,11.108,1.0.0
392,13.176,1.0.0
393,8.09,1.0.0
394,10.61,1.0.0
395,6.516,1.0.0
396,45.306,1.0.0
397,23.294,1.0.0
398,43.324,1.0.0
399,22.468,1.0.0
400,34.724,1.0.0
401,19.876,1.0.0
402,31.254,1.0.0
403,20.812,1.0.0
404,17.894,1.0.0
405,11.716,1.0.0
406,13.516,1.0.0
407,8.626,1.0.0
408,35.304,1.0.0
409,22.974,1.0.0
410,23.174,1.0.0
411,14.524,1.0.0
412,17.808,1.0.0
413,10.982,1.0.0
414,80.982,1.0.0
415,41.064,1.0.0
416,85.794,1.0.0
417,44.28,1.0.0
418,63.312,1.0.0
419,34.536,1.0.0
420,33.816,1.0.0
421,23.538,1.0.0
422,37.292,1.0.0
423,34.622,1.0.0
424,41.676,1.0.0
425,30.12,1.0.0
426,37.252,1.0.0
427,25.634,1.0.0
428,32.518,1.0.0
429,19.898,1.0.0
430,23.538,1.0.0
431,14.298,1.0.0
432,19.734,1.0.0
433,10.5,1.0.0
434,18.118,1.0.0
435,9.672,1.0.0
436,15.988,1.0.0
437,9.758,1.0.0
438,11.744,1.0.0
439,9.628,1.0.0
440,7.432,1.0.0
441,5.78,1.0.0
442,5.718,1.0.0
443,4.432,1.0.0
444,16.6,1.0.0
445,14.32,1.0.0
446,13.124,1.0.0
447,9.538,1.0.0
448,10.67,1.0.0
449,7.476,1.0.0
450,45.226,1.0.0
451,23.322,1.0.0
452,43.448,1.0.0
453,22.45,1.0.0
454,34.704,1.0.0
455,19.868,1.0.0
456,31.194,1.0.0
457,22.146,1.0.0
458,17.91,1.0.0
459,12.75,1.0.0
460,13.466,1.0.0
461,9.308,1.0.0
462,35.212,1.0.0
463,26.66,1.0.0
464,23.186,1.0.0
465,17.244,1.0.0
466,17.806,1.0.0
467,12.606,1.0.0
468,80.934,1.0.0
469,41.202,1.0.0
470,85.83,1.0.0
471,44.444,1.0.0
472,63.282,1.0.0
473,34.65,1.0.0
474,33.734,1.0.0
475,29.012,1.0.0
476,37.344,1.0.0
477,50.024,1.0.0
478,41.812,1.0.0
479,43.22,1.0.0
480,37.196,1.0.0
481,39.574,1.0.0
482,32.548,1.0.0
483,30.592,1.0.0
484,23.568,1.0.0
485,21.558,1.0.0
486,19.622,1.0.0
487,10.484,1.0.0
488,18.132,1.0.0
489,9.73,1.0.0
490,15.952,1.0.0
491,9.738,1.0.0
492,11.742,1.0.0
493,9.624,1.0.0
494,7.362,1.0.0
495,5.808,1.0.0
496,5.746,1.0.0
497,4.432,1.0.0
498,16.572,1.0.0
499,14.366,1.0.0
500,13.04,1.0.0
501,9.49,1.0.0
502,10.628,1.0.0
503,7.412,1.0.0
504,45.134,1.0.0
505,23.34,1.0.0
506,43.28,1.0.0
507,22.552,1.0.0
508,34.764,1.0.0
509,19.928,1.0.0
510,31.352,1.0.0
511,22.102,1.0.0
512,17.872,1.0.0
513,12.758,1.0.0
514,13.526,1.0.0
515,9.24,1.0.0
516,35.102,1.0.0
517,26.684,1.0.0
518,23.198,1.0.0
519,17.184,1.0.0
520,17.75,1.0.0
521,12.512,1.0.0
522,81.036,1.0.0
523,41.198,1.0.0
524,85.914,1.0.0
525,44.36,1.0.0
526,63.46,1.0.0
527,34.606,1.0.0
528,33.712,1.0.0
529,29.102,1.0.0
530,37.296,1.0.0
531,50.042,1.0.0
532,41.69,1.0.0
533,43.156,1.0.0
534,37.348,1.0.0
535,39.568,1.0.0
536,32.476,1.0.0
537,30.582,1.0.0
538,23.502,1.0.0
539,21.654,1.0.0
540,19.762,1.0.0
541,10.428,1.0.0
542,18.134,1.0.0
543,9.624,1.0.0
544,15.938,1.0.0
545,9.742,1.0.0
546,11.764,1.0.0
547,8.588,1.0.0
548,7.374,1.0.0
549,5.22,1.0.0
550,5.724,1.0.0
551,3.878,1.0.0
552,16.592,1.0.0
553,11.164,1.0.0
554,13.14,1.0.0
555,8.076,1.0.0
556,10.708,1.0.0
557,6.516,1.0.0
558,45.32,1.0.0
559,23.256,1.0.0
560,43.368,1.0.0
561,22.4,1.0.0
562,34.826,1.0.0
563,19.874,1.0.0
564,31.126,1.0.0
565,20.744,1.0.0
566,17.884,1.0.0
567,11.764,1.0.0
568,13.536,1.0.0
569,8.624,1.0.0
570,35.226,1.0.0
571,22.998,1.0.0
572,23.178,1.0.0
573,14.534,1.0.0
574,17.794,1.0.0
575,10.918,1.0.0
576,80.986,1.0.0
577,41.06,1.0.0
578,85.806,1.0.0
579,44.29,1.0.0
580,63.368,1.0.0
581,34.644,1.0.0
582,33.78,1.0.0
583,23.466,1.0.0
584,37.32,1.0.0
585,34.674,1.0.0
586,41.808,1.0.0
587,30.156,1.0.0
588,37.122,1.0.0
589,25.65,1.0.0
590,32.628,1.0.0
591,19.896,1.0.0
592,23.474,1.0.0
593,14.296,1.0.0
594,19.7,1.0.0
595,10.368,1.0.0
596,18.202,1.0.0
597,9.67,1.0.0
598,15.922,1.0.0
599,9.704,1.0.0
600,11.784,1.0.0
601,8.59,1.0.0
602,7.418,1.0.0
603,5.144,1.0.0
604,5.726,1.0.0
605,3.888,1.0.0
606,16.554,1.0.0
607,11.06,1.0.0
608,13.148,1.0.0
609,8.17,1.0.0
610,10.678,1.0.0
611,6.512,1.0.0
612,45.214,1.0.0
613,23.23,1.0.0
614,43.49,1.0.0
615,22.412,1.0.0
616,34.754,1.0.0
617,19.78,1.0.0
618,31.132,1.0.0
619,20.752,1.0.0
620,17.874,1.0.0
