revision,performance
1.0.0,42.80433333333333
1.0.1,42.82311111111111
1.0.2,42.84491111111111
1.0.3,42.828266666666664
1.1,42.85333333333334
1.1.1,42.85426666666667
1.1.2,42.855199999999996
1.1.5,42.8526
1.2,42.80753333333333
1.2.1,42.8202
1.3,42.8138
1.3.1,42.81746666666667
