,revision,performance,size,energy,cpu
230,v0.9.1,9.4746,1578863.4,440.8,36.191333
231,v0.9.1,9.066799999999999,1579566.8,442,37.415555
232,v0.9.1,11.959200000000001,1594341,480.8,28.147446
233,v0.9.1,10.1044,1578876.8,430.6,34.828
234,v0.9.1,9.2026,1555468.6,430.8,36.489111
235,v0.9.1,9.1366,1579944.6,453.4,38.550445
236,v0.9.1,11.6052,1595576,446,26.459848
237,v0.9.1,10.4146,1582706.6,459.6,34.202909
238,v0.9.1,9.465200000000001,1587385.2,453.4,36.492222
239,v0.9.1,9.061200000000001,1580355.2,438.8,39.596445
240,v0.9.1,11.6298,1594887,464.8,26.881818
241,v0.9.1,10.061,1572869,432.4,33.762364
242,v0.9.1,9.464799999999999,1578455.4,428.4,37.749333
243,v0.9.1,9.2476,1586244.4,472,36.048889
244,v0.9.1,11.579,1594341,473.6,27.745
245,v0.9.1,10.084,1580310.4,441,34.257818
246,v0.9.1,9.4922,1587636.4,445.2,35.603556
247,v0.9.1,9.149,1573524.6,448.6,38.273111
248,v0.9.1,11.674,1595576,465.4,29.808333
249,v0.9.1,10.143799999999999,1579987.2,453,34.696182
250,v0.9.1,9.4336,1579655.8,434.8,37.601556
251,v0.9.1,9.1852,1574630,452.2,37.487651
252,v0.9.1,11.7388,1594887,473,29.263333
253,v0.9.1,10.2668,1579258.4,449.8,34.460929
254,v0.9.1,9.5048,1586234.6,451.8,37.335111
255,v0.9.1,9.071399999999999,1570418.6,474,36.797778
256,v0.9.1,11.6738,1594341,459.6,30.186667
257,v0.9.1,10.1262,1571261.4,448.2,32.711636
258,v0.9.1,9.372200000000001,1572132.4,437.6,37.820222
259,v0.9.1,9.046,1579673.6,446.4,38.870222
260,v0.9.1,11.71,1595576,468.2,30.191667
261,v0.9.1,10.0466,1572164.6,438,34.746909
262,v0.9.1,9.5464,1565866.6,454.2,38.124
263,v0.9.1,8.994399999999999,1572402.2,425.4,37.76
264,v0.9.1,11.7476,1594887,456,29.418334
265,v0.9.1,10.2374,1578785.2,458,32.645394
266,v0.9.1,9.434,1563990.2,443.8,37.463111
267,v0.9.1,9.0276,1571507.4,417.6,36.085833
268,v0.9.1,11.590200000000001,1594341,418,26.933485
269,v0.9.1,10.2904,1587460.4,453.4,35.323636
270,v0.9.1,9.4248,1580306.8,440.8,36.881556
271,v0.9.1,9.085,1579388.8,445,38.092
272,v0.9.1,11.6154,1595576,464,28.926666
273,v0.9.1,9.9954,1565203.4,429,35.516545
274,v0.9.1,9.5078,1587510.8,457.8,34.902
275,v0.9.1,8.913,1558138.4,430.6,37.871111
276,v0.9.1,11.6136,1594887,440.8,30.19
277,v0.9.1,10.568,1587190.8,471,31.194333
278,v0.9.1,9.559,1578330.6,441.6,33.934
279,v0.9.1,9.1872,1586596.2,444.2,38.792222
280,v0.9.1,11.58,1594341,451.8,26.617424
281,v0.9.1,9.8044,1558228.4,434.4,32.996
282,v0.9.1,9.5022,1571191.8,423,37.331353
283,v0.9.1,9.0208,1572234,450.4,37.101389
284,v0.9.1,11.8088,1595576,467.4,27.109848
285,v0.9.1,9.9788,1573275,440.2,34.406909
286,v0.9.1,9.458200000000001,1587555,442.4,35.93
287,v0.9.1,9.33,1568141.8,425.6,37.443434
288,v0.9.1,11.6622,1594887,448.2,29.203788
289,v0.9.1,10.1754,1586127.8,438.8,31.982
290,v0.9.1,9.662799999999999,1586374.6,444.6,35.004667
291,v0.9.1,9.153799999999999,1578996.6,449.8,39.429333
292,v0.9.1,11.655,1594341,442.2,28.267727
293,v0.9.1,9.986,1571656,440.4,33.383778
294,v0.9.1,9.4698,1571889.8,441.8,37.099333
295,v0.9.1,9.300799999999999,1594310.8,423.8,37.863111
296,v0.9.1,11.598600000000001,1595576,467.2,27.950151
297,v0.9.1,10.018799999999999,1572963,433.2,34.541051
298,v0.9.1,9.4384,1587154.6,436,36.041111
299,v0.9.1,9.0818,1572333.4,443.2,37.5
300,v0.9.1,11.6324,1594887,443.8,28.328182
301,v0.9.1,10.080200000000001,1580257,442,33.2
302,v0.9.1,9.518799999999999,1570491.6,444.6,35.006222
303,v0.9.1,9.129,1570917.2,440.2,37.292222
304,v0.9.1,11.6298,1594341,443.2,30.03
305,v0.9.1,9.842,1558682.4,424.4,32.968
306,v0.9.1,9.3902,1580536.8,441.4,37.613111
307,v0.9.1,9.0624,1579113.2,446.4,38.56
308,v0.9.1,11.6126,1595576,443.8,26.885909
309,v0.9.1,10.5576,1580407.2,462.6,31.734909
310,v0.9.1,9.3624,1572676.4,434.6,37.122444
311,v0.9.1,9.004,1572547.4,472.8,36.953333
312,v0.9.1,11.6212,1594887,455.4,30.008333
313,v0.9.1,10.4162,1586837.2,442,33.966
314,v0.9.1,9.404,1578920.8,446.4,35.174
315,v0.9.1,9.1452,1555379,439.4,37.440444
316,v0.9.1,11.5764,1594341,453,29.637727
317,v0.9.1,10.1346,1580890,457.2,32.983818
318,v0.9.1,9.356200000000001,1570802.4,425,37.248222
319,v0.9.1,9.0758,1579508.4,446,39.548667
320,v0.9.1,11.5982,1595576,418,26.149546
321,v0.9.1,10.2356,1580145.8,434.4,32.469919
322,v0.9.1,9.2114,1565001.8,414,38.271111
323,v0.9.1,9.0546,1579478.6,446.6,36.168611
324,v0.9.1,11.6344,1594887,456.4,28.356667
325,v0.9.1,9.9566,1571689.8,432.8,34.242182
326,v0.9.1,9.399799999999999,1564968.4,441.4,37.086445
327,v0.9.1,8.984,1572469.2,419,36.657222
328,v0.9.1,11.6526,1594341,466.4,27.157121
329,v0.9.1,9.858600000000001,1556413.6,433.4,32.72
330,v0.9.1,9.2928,1572521.6,443.2,37.823333
331,v0.9.1,8.8832,1565203.8,417.2,37.180833
332,v0.9.1,11.677,1595576,451,29.59
333,v0.9.1,9.9,1566824,445.6,33.82
334,v0.9.1,9.324,1572055.8,430,37.633111
335,v0.9.1,9.142,1579318.2,439.8,37.017722
336,v0.9.1,11.927,1594887,486,29.127949
337,v0.9.1,10.0198,1570674,439.4,33.443636
338,v0.9.1,9.455200000000001,1572510,435.2,36.835111
339,v0.9.1,8.947,1563245.8,422,36.298889
340,v0.9.1,11.6286,1594341,443.8,29.998333
341,v0.9.1,10.1708,1586838.6,437.8,32.698
342,v0.9.1,9.531799999999999,1578854.4,451.6,34.525333
343,v0.9.1,8.9214,1564264.4,453,38.880889
344,v0.9.1,11.5794,1595576,434.6,27.060152
345,v0.9.1,10.0244,1563701.8,439.2,31.557556
346,v0.9.1,9.3286,1573092.4,433.6,37.265333
347,v0.9.1,8.8986,1567491.2,438.4,37.378889
348,v0.9.1,11.6226,1594887,471,28.72606
349,v0.9.1,9.907,1564666.8,425.6,33.724182
350,v0.9.1,9.5776,1594013.4,448.8,34.115556
351,v0.9.1,9.3318,1586173.6,477,36.178222
352,v0.9.1,11.7652,1594341,464.2,28.600151
353,v0.9.1,10.645,1587794,457.8,35.196303
354,v0.9.1,9.3886,1578560.6,436.6,34.908
355,v0.9.1,9.0658,1572357.8,441.4,37.102222
356,v0.9.1,11.5806,1595576,432.6,29.965
357,v0.9.1,9.9852,1574131.8,430.2,33.067455
358,v0.9.1,9.326799999999999,1573193.8,430,38.042
359,v0.9.1,9.2426,1574072,455.4,36.353778
360,v0.9.1,11.9542,1594887,458,27.899779
361,v0.9.1,10.126,1571029.8,440.6,32.245778
362,v0.9.1,9.3232,1579656.8,425,37.796
363,v0.9.1,8.992,1566707.4,452.4,38.808889
364,v0.9.1,12.067,1594341,474.8,27.149199
365,v0.9.1,9.9762,1571743.2,427.6,32.380808
366,v0.9.1,9.357,1574609.8,427.8,35.492889
367,v0.9.1,9.0024,1573677.6,415.8,39.277778
368,v0.9.1,11.7674,1595576,452,25.986818
369,v0.9.1,10.2568,1565629.6,428.2,32.756141
370,v0.9.1,9.398399999999999,1579300.2,425.2,36.714
371,v0.9.1,9.3674,1573895,433,38.616091
372,v0.9.1,11.6336,1594887,450.6,27.894243
373,v0.9.1,10.1164,1578393.2,447,34.996364
374,v0.9.1,9.509,1578627,433.2,36.521556
375,v0.9.1,8.9628,1572514.6,428.6,36.728889
376,v0.9.1,11.6264,1594341,454.4,27.359545
377,v0.9.1,10.159799999999999,1572433.8,446.8,34.612707
378,v0.9.1,9.651200000000001,1572313.8,430.2,37.844727
379,v0.9.1,9.4634,1572441.6,448,35.982626
380,v0.9.1,11.6006,1595576,459.8,29.866667
381,v0.9.1,10.137799999999999,1580182.6,444.8,32.677273
382,v0.9.1,9.2804,1558025,414.4,34.642
383,v0.9.1,9.079799999999999,1572161.4,454.2,38.74
384,v0.9.1,11.7514,1594887,461.6,28.575326
385,v0.9.1,10.203,1571647.6,446.6,32.583111
386,v0.9.1,9.378,1572615.4,451.2,37.224889
387,v0.9.1,9.0244,1565146,421,36.517222
388,v0.9.1,11.6232,1594341,457.4,29.019242
389,v0.9.1,10.0446,1565702.2,432.2,33.558909
390,v0.9.1,9.4378,1586464.4,459,36.858222
391,v0.9.1,9.0658,1566351.6,435.2,38.12
392,v0.9.1,11.6374,1595576,430.2,27.05606
393,v0.9.1,10.24,1574201,423.8,32.267172
394,v0.9.1,9.343,1573249.4,448.6,38.365778
395,v0.9.1,8.9906,1572679.4,453.4,37.138778
396,v0.9.1,11.6586,1594887,461.8,27.153788
397,v0.9.1,10.240200000000002,1586739.6,443,32.046
398,v0.9.1,9.5254,1571659.6,453.4,38.248323
399,v0.9.1,9.2492,1579055,440,37.242444
400,v0.9.1,11.628,1594341,469,27.54303
401,v0.9.1,10.2522,1579709.6,444.8,35.473091
402,v0.9.1,9.354,1574174.4,436.4,36.053333
403,v0.9.1,9.0242,1570893.6,448.4,36.671111
404,v0.9.1,11.6168,1595576,453.6,29.247424
405,v0.9.1,10.0688,1580925.4,421.4,32.597091
406,v0.9.1,9.3576,1571885.8,442,36.124667
407,v0.9.1,9.1284,1579935.2,440.2,38.696222
408,v0.9.1,11.6454,1594887,475.4,28.181363
409,v0.9.1,10.0272,1570102.6,446.2,32.442
410,v0.9.1,9.345799999999999,1566289.4,430.6,37.375333
411,v0.9.1,9.135399999999999,1579628.4,445.4,38.352445
412,v0.9.1,11.8222,1594341,463.8,26.101212
413,v0.9.1,10.0586,1580582.4,433.8,34.303273
414,v0.9.1,9.3706,1572139.6,430.8,35.307778
415,v0.9.1,9.1944,1586598.8,456.4,37.057778
416,v0.9.1,11.582,1595576,441.8,30.211667
417,v0.9.1,10.1954,1571938.2,441.2,34.685333
418,v0.9.1,9.342600000000001,1580419.2,440.6,34.504667
419,v0.9.1,9.173200000000001,1571320,446.2,38.444889
420,v0.9.1,11.7586,1594887,459.8,29.983333
421,v0.9.1,10.172600000000001,1578035.2,448.4,32.138242
422,v0.9.1,9.3988,1558361.4,430,37.481212
423,v0.9.1,9.1342,1573674.6,439.2,38.836889
424,v0.9.1,11.8862,1594341,480.2,27.484697
425,v0.9.1,10.3392,1579519.6,441.2,32.361091
426,v0.9.1,9.3702,1571462.8,433,37.246222
427,v0.9.1,9.0622,1570754.2,437.2,37.084444
428,v0.9.1,11.624,1595576,422,29.590303
429,v0.9.1,10.266200000000001,1580521,468,34.211273
430,v0.9.1,9.3664,1580731,427.2,35.045778
431,v0.9.1,9.117,1571695,439.4,37.906444
432,v0.9.1,82.103,1445388,2876.6,25.626507
433,v0.9.1,55.296,1456336.6,2334.2,39.774667
434,v0.9.1,42.6196,1449940.8,2033.2,51.907198
435,v0.9.1,38.5554,1454017.8,2062.2,57.337029
436,v0.9.1,83.3698,1456773,2912.8,25.854811
437,v0.9.1,55.404,1468043.6,2353.8,40.149643
438,v0.9.1,43.0802,1469393.4,2094.4,52.298901
439,v0.9.1,38.741,1456837.4,2013.2,57.415439
440,v0.9.1,82.69439999999999,1463546,2905.6,25.777564
441,v0.9.1,55.337,1467629.8,2322.4,40.023212
442,v0.9.1,42.6298,1468320.4,2058.8,51.910155
443,v0.9.1,38.569199999999995,1458383.6,2028.6,57.715641
444,v0.9.1,82.027,1445388,2849.8,25.662487
445,v0.9.1,55.214,1458141,2314.4,40.095156
446,v0.9.1,42.3258,1452813,2148.2,52.062392
447,v0.9.1,38.4626,1467352.4,2051.6,57.337787
448,v0.9.1,83.3568,1456773,2922.8,25.743855
449,v0.9.1,55.3568,1470391.2,2373.2,39.934971
450,v0.9.1,42.5222,1459503.4,2099.6,52.272348
451,v0.9.1,38.776,1468147.6,2012.6,57.467895
452,v0.9.1,82.87060000000001,1463546,2956.8,25.875495
453,v0.9.1,54.9664,1459110.6,2321.2,39.954034
454,v0.9.1,42.675,1471990.4,2123.4,52.014219
455,v0.9.1,38.64,1469202.2,2104.6,57.708827
456,v0.9.1,81.977,1445388,2826.8,25.669148
457,v0.9.1,55.4598,1458533.4,2357,40.181676
458,v0.9.1,42.934,1463531.4,2107.8,52.261591
459,v0.9.1,38.5906,1463352.8,2096.2,57.672308
460,v0.9.1,83.53880000000001,1456773,2976,25.718743
461,v0.9.1,55.6646,1470130.6,2326.6,40.095539
462,v0.9.1,42.381800000000005,1466881.4,2095.8,52.152713
463,v0.9.1,38.753,1465557.8,2023.6,57.502186
464,v0.9.1,82.7038,1463546,2966.4,25.67839
465,v0.9.1,55.1654,1466821.4,2303.4,40.136191
466,v0.9.1,42.6728,1466049.4,2067.8,52.185308
