,revision,performance,size,cpu
0,530,20.6372,652020836,3.107534
1,530,20.779400000000003,652020836,3.130484
2,530,20.088,652020686,3.107835
3,530,21.157799999999998,652020357,3.401375
4,530,20.2082,652019971,4.279789
5,530,22.738599999999998,652019482,5.542589
6,530,27.586599999999997,652017712,5.132989
7,530,27.656200000000002,652017499,4.974876
8,530,28.5864,652017043,5.069234
9,530,20.796599999999998,652020503,5.760887
10,530,19.625400000000003,652020503,5.987484
11,530,21.121,652020404,5.777308
12,530,19.334400000000002,652020150,5.990813
13,530,20.383,652019754,5.970667
14,530,21.38,652019325,5.620072
15,530,24.738,652017617,5.442887
16,530,24.842599999999997,652017374,5.38879
17,530,24.6918,652016938,5.22762
18,530,20.6026,652020281,5.988238
19,530,20.5368,652020281,5.850762
20,530,19.5326,652020208,6.102481
21,530,19.1806,652019958,6.127985
22,530,20.2196,652019631,5.586065
23,530,20.421599999999998,652019413,5.997333
24,530,22.7434,652017943,5.533004
25,530,22.1844,652017725,5.820909
26,530,22.8124,652017305,5.609987
27,530,19.9674,652020148,5.739737
28,530,19.3478,652020148,6.012895
29,530,19.951,652020099,5.884
30,530,18.997,652019973,6.145409
31,530,19.3902,652019661,5.988913
32,530,19.83,652019563,6.034779
33,530,21.5942,652018370,5.839156
34,530,21.2548,652018247,5.728355
35,530,21.7744,652017932,5.575718
36,530,18.4106,652021011,6.236323
37,530,18.098599999999998,652021011,6.574672
38,530,17.392799999999998,652020861,6.487451
39,530,17.9372,652020532,6.216801
40,530,18.221,652020146,6.228246
41,530,19.935599999999997,652019657,5.911762
42,530,25.395,652017887,5.540861
43,530,25.338,652017674,5.402193
44,530,25.299400000000002,652017218,5.424123
45,530,18.494799999999998,652020603,6.215778
46,530,18.208,652020603,6.292302
47,530,17.799799999999998,652020504,6.435359
48,530,17.1298,652020250,6.362941
49,530,17.8198,652019854,6.647778
50,530,18.7122,652019425,6.315439
51,530,22.4656,652017717,5.855296
52,530,21.941,652017474,5.650922
53,530,22.2698,652017038,5.853834
54,530,18.854,652020331,5.967561
55,530,17.875,652020331,6.612938
56,530,17.8214,652020258,6.590557
57,530,16.918599999999998,652020008,6.930392
58,530,17.6098,652019681,6.780523
59,530,17.7766,652019463,6.78183
60,530,20.064,652017993,6.158
61,530,20.034599999999998,652017775,6.398571
62,530,20.116,652017355,6.121333
63,530,18.275599999999997,652020173,6.718947
64,530,17.8384,652020173,6.424231
65,530,17.522599999999997,652020124,5.944816
66,530,16.9942,652019998,6.758864
67,530,17.238,652019686,5.569412
68,530,17.6586,652019588,5.821242
69,530,18.708599999999997,652018395,6.370526
70,530,18.1738,652018272,6.601228
71,530,18.5254,652017957,6.639591
72,530,17.6992,652021336,6.497222
73,530,17.423599999999997,652021336,6.118105
74,530,16.8868,652021186,6.769886
75,530,16.6632,652020857,5.630368
76,530,17.351,652020471,6.019738
77,530,18.978,652019982,6.418947
78,530,24.0746,652018212,5.761667
79,530,24.13,652017999,5.680833
80,530,24.028599999999997,652017543,5.74
81,530,17.624,652020778,6.490972
82,530,17.292,652020778,6.286209
83,530,16.563599999999997,652020679,6.422353
84,530,16.1956,652020425,6.7125
85,530,16.5772,652020029,6.430588
86,530,17.8466,652019600,6.749532
87,530,21.241799999999998,652017892,6.339697
88,530,20.989,652017649,6.253333
89,530,21.4956,652017213,6.095445
90,530,17.6078,652020431,6.635796
91,530,17.946,652020431,6.112645
92,530,16.718400000000003,652020358,6.711225
93,530,16.2318,652020108,6.776177
94,530,16.1394,652019781,7.240588
95,530,17.002,652019563,6.883529
96,530,18.927,652018093,6.637895
97,530,19.128,652017875,6.579684
98,530,18.9158,652017455,6.725263
99,530,17.2438,652020223,6.602475
100,530,17.4256,652020223,6.549519
101,530,16.6944,652020174,6.494224
102,530,15.7096,652020048,7.0575
103,530,16.008,652019736,7.3225
104,530,16.4582,652019638,6.942353
105,530,17.5136,652018445,6.732876
106,530,17.543400000000002,652018322,6.771307
107,530,17.4582,652018007,7.184575
108,530,17.8488,652021936,6.395225
109,530,17.157799999999998,652021936,6.385408
110,530,16.2764,652021786,7.112639
111,530,16.801599999999997,652021457,6.468235
112,530,16.948400000000003,652021071,6.828235
113,530,19.1496,652020582,6.360158
114,530,24.191599999999998,652018812,5.6299
115,530,23.798599999999997,652018599,5.755
116,530,23.984,652018143,5.973333
117,530,18.2692,652021078,6.939708
118,530,17.4056,652021078,6.66451
119,530,16.457,652020979,6.530809
120,530,15.8582,652020725,7.1175
121,530,16.2788,652020329,7.089853
122,530,17.208599999999997,652019900,6.79366
123,530,20.549,652018192,6.40819
124,530,20.584,652017949,6.030809
125,530,20.613799999999998,652017513,5.972476
126,530,17.8672,652020631,6.33366
127,530,17.5454,652020631,6.448525
128,530,16.403599999999997,652020558,6.626177
129,530,15.7842,652020308,6.897833
130,530,15.7614,652019981,6.7375
131,530,16.399,652019763,6.999706
132,530,18.32,652018293,6.771111
133,530,18.2234,652018075,6.862222
134,530,18.6558,652017655,6.346608
135,530,17.674599999999998,652020323,6.668483
136,530,16.87,652020323,6.905882
137,530,15.806799999999999,652020274,7.203382
138,530,15.592799999999999,652020148,7.244
139,530,15.728200000000001,652019836,7.24875
140,530,15.961,652019738,7.16875
141,530,16.952,652018545,7.11647
142,530,16.9436,652018422,7.107059
143,530,17.0482,652018107,7.223529
144,530,19.172400000000003,652020836,6.04137
145,530,19.1422,652020836,5.963941
146,530,18.8268,652020686,5.973164
147,530,18.9008,652020357,6.116959
148,530,20.6056,652019971,5.74181
149,530,21.8942,652019482,5.71825
150,530,27.288400000000003,652017712,4.999339
151,530,27.095200000000002,652017499,5.150273
152,530,27.5854,652017043,5.162562
153,530,19.56,652020503,6.003556
154,530,19.3878,652020503,5.833398
155,530,19.351200000000002,652020404,6.096778
156,530,19.114,652020150,5.947357
157,530,19.730400000000003,652019754,5.250789
158,530,21.3854,652019325,5.550217
159,530,24.134,652017617,5.9175
160,530,24.1818,652017374,5.240168
161,530,24.3466,652016938,5.250867
162,530,19.5364,652020281,5.869158
163,530,19.4238,652020281,5.767105
164,530,19.4694,652020208,5.337716
165,530,19.0542,652019958,5.013953
166,530,19.860400000000002,652019631,5.329757
167,530,20.0616,652019413,6.039043
168,530,22.322400000000002,652017943,5.77838
169,530,22.2712,652017725,5.887273
170,530,22.6608,652017305,5.418063
171,530,20.0302,652020148,5.877474
172,530,19.5858,652020148,6.166579
173,530,19.096799999999998,652020099,6.128981
174,530,19.3152,652019973,6.176111
175,530,19.540599999999998,652019661,6.292431
176,530,19.973200000000002,652019563,6.139341
177,530,20.9008,652018370,5.67126
178,530,21.11,652018247,5.595758
179,530,20.824,652017932,5.831355
180,530,17.4312,652021011,6.37549
181,530,17.688599999999997,652021011,6.644641
182,530,17.8684,652020861,6.322222
183,530,17.5966,652020532,6.230327
184,530,18.1884,652020146,6.482164
185,530,20.346799999999998,652019657,5.833524
186,530,25.3354,652017887,5.409169
187,530,25.031599999999997,652017674,5.474492
188,530,25.1546,652017218,5.626246
189,530,18.0802,652020603,6.584
190,530,17.8504,652020603,6.569095
191,530,17.793400000000002,652020504,6.449804
192,530,17.0136,652020250,6.817451
193,530,17.970200000000002,652019854,6.615597
194,530,18.9852,652019425,6.49545
195,530,21.9968,652017717,5.775455
196,530,21.944200000000002,652017474,5.902767
197,530,22.3094,652017038,5.916601
198,530,18.528200000000002,652020331,6.462421
199,530,17.6616,652020331,6.78172
200,530,17.7858,652020258,6.819646
201,530,16.8882,652020008,6.561797
202,530,17.294400000000003,652019681,6.875621
203,530,17.919400000000003,652019463,6.884967
204,530,19.849,652017993,6.127
205,530,20.294,652017775,6.314
206,530,19.9516,652017355,6.172709
207,530,17.6662,652020173,6.610065
208,530,17.247799999999998,652020173,6.438693
209,530,18.039,652020124,6.495614
210,530,16.929,652019998,6.887059
211,530,17.080599999999997,652019686,6.847451
212,530,17.3212,652019588,6.669804
213,530,18.6316,652018395,6.344971
214,530,18.784,652018272,6.241637
215,530,18.5368,652017957,6.224246
216,530,17.5894,652021336,6.430458
217,530,17.346799999999998,652021336,6.274444
218,530,16.7314,652021186,6.54
219,530,16.6552,652020857,6.691928
220,530,17.3964,652020471,6.218039
221,530,19.7286,652019982,6.214474
222,530,23.8952,652018212,5.509167
223,530,24.434,652017999,5.823567
224,530,24.116799999999998,652017543,5.5964
225,530,17.6986,652020778,6.514444
226,530,18.3788,652020778,6.148363
227,530,16.4516,652020679,6.684559
228,530,15.7126,652020425,7.22
229,530,16.4692,652020029,6.986029
230,530,17.900599999999997,652019600,6.781111
231,530,21.1786,652017892,5.986061
232,530,20.9358,652017649,6.182857
233,530,20.9648,652017213,5.922857
234,530,17.9576,652020431,6.783488
235,530,18.0698,652020431,6.259941
236,530,16.7314,652020358,6.636985
237,530,15.7874,652020108,6.9125
238,530,16.311,652019781,6.830073
239,530,16.9388,652019563,7.12353
240,530,18.834400000000002,652018093,6.425263
241,530,18.8788,652017875,6.340632
242,530,18.81,652017455,5.60152
243,530,17.3338,652020223,6.798352
244,530,17.645599999999998,652020223,6.360468
245,530,16.2838,652020174,6.998235
246,530,15.886,652020048,7.6275
247,530,15.909799999999999,652019736,7.56875
248,530,16.436400000000003,652019638,6.782868
249,530,17.5368,652018445,6.847843
250,530,17.2838,652018322,6
251,530,17.435200000000002,652018007,6.024575
252,530,18.3828,652021936,6.365965
253,530,17.046200000000002,652021936,5.706324
254,530,16.9,652021786,6.502794
255,530,16.348,652021457,6.837279
256,530,16.6296,652021071,6.915294
257,530,19.0862,652020582,6.230643
258,530,23.810200000000002,652018812,5.730725
259,530,23.799799999999998,652018599,5.71
260,530,23.9438,652018143,5.928333
261,530,17.720200000000002,652021078,6.443512
262,530,18.158,652021078,6.067368
263,530,16.7988,652020979,6.926283
264,530,15.6584,652020725,6.879583
265,530,16.188200000000002,652020329,6.768235
266,530,17.104,652019900,6.975294
267,530,20.5266,652018192,6.146428
268,530,20.5556,652017949,6.335714
269,530,20.4862,652017513,6.143524
