revision;Workloads;QF_FP * model_validate * proof;QF_LRA * model_validate * proof;QF_UFLRA * model_validate * proof;QF_FP * proof;QF_LRA * proof;QF_UFLRA * proof;QF_FP * model_validate;QF_LRA * model_validate;QF_UFLRA * model_validate;QF_FP * smtlib2_compliant;QF_LRA * smtlib2_compliant;QF_UFLRA * smtlib2_compliant;QF_FP;QF_LRA;QF_UFLRA;proof;model_validate;error
4.3.2;4.74698437499954;4.27169718434511E-13;0.193687499999687;-0.102718749999921;-0.365531250000141;56.8934375000003;71.6527499999995;-0.095625000000481;-0.221687499999451;7.22381250000005;-2.50893947124583E-13;-0.59174999999976;-1.70742187500008;-4.6469843749997;162.833734375;94.6586953125008;0.365531250000392;0.0956250000001542;1.20457590646128
4.4.0;4.65083593749955;-0.571562499999608;-1.42675000000027;-0.911187499999931;1.18854687499989;46.4143593750003;69.7043593749995;0.673515624999547;0.486921875000531;7.65579687500005;-0.0178437500002213;0.115906250000204;-1.03218750000008;3.10877343750027;151.1196484375;92.3582578125007;0.369203125000371;0.0908593750001602;1.27143990709538
4.4.1;4.80026562499957;0.0145312500004189;0.0834687499996607;0.111125000000028;-9.18734375000008;46.6707812500003;72.8442499999995;-0.108562500000487;-0.397343749999435;7.37878125000007;-0.00998437500022923;0.037796875000208;-1.44578125000006;4.12369531250025;153.3751796875;93.0225937500008;0.368375000000358;0.0940312500001448;1.96824648447313
4.5.0;7.65199999999948;1.80153125000037;0.899718749999725;0.415937500000049;26.5820937499999;48.6556875000003;69.6446874999995;1.50378124999963;-0.392187499999476;7.15168749999997;-0.363734375000207;0.507171875000176;-1.5558125000001;15.7382109375003;155.0136015625;94.4330312500007;0.487500000000442;0.107593750000203;1.58794048126309
4.6.0;5.31322656249938;0.69918750000085;-0.562968750000456;0.188656250000005;11.6783593749998;71.3008906250004;186.000515624999;0.903390624998945;0.073765625000671;8.01423437500022;-0.184718750000277;0.201046875000227;-1.35757812500021;7.07866406250032;160.03940625;125.846000000001;0.598390625000602;0.0966093750001533;1.57638390414193
4.7.1;5.14993749999942;0.724437500000784;-0.322437500000414;-0.0954062499999507;10.9883749999999;69.9431250000003;169.499343749999;0.824999999999042;-0.0867187499993829;7.86518750000024;-0.153343750000261;0.18596875000021;-1.81545312500019;6.70720312500031;150.619015625;116.625632812501;0.603250000000567;0.113656250000142;1.56497381488902
4.8.1;5.20201562499942;-0.243218749999221;-0.636875000000404;0.199906250000008;12.2907187499998;60.0675000000003;170.157343749999;0.512281249999048;0.46143750000064;7.61975000000022;-0.159296875000269;-0.229593749999802;-1.50945312500019;5.88878906250031;159.94746875;114.337554687501;0.59793750000056;0.115218750000145;1.5889438805376
4.8.3;5.28858593749942;0.201281250000791;0.332812499999614;0.344093750000097;12.2058906249998;59.7717656250003;170.127765624999;0.0707968749990404;-0.323328124999361;7.7305468750002;-0.161015625000267;-0.0593749999998018;-1.53995312500018;5.91135937500032;159.8439765625;115.118171875001;0.605140625000559;0.118453125000146;1.43933516567584
4.8.4;5.25596093749942;-3.72593749999918;-0.183843750000444;0.0735625000000195;10.6394843749998;60.0305781250003;177.822265624999;1.54267187499899;0.30507812500066;7.63145312500022;-0.116062500000278;-0.124515624999789;-1.8329062500002;2.44788281250031;159.541734375;115.956492187501;0.63042187500056;0.103171875000137;1.54671871665033
4.8.5;4.54685937499951;-1.23403124999917;0.117062499999601;-0.508249999999937;2.14131249999984;57.5936250000003;181.448437499999;0.166249999998913;-0.148749999999395;8.27262500000022;-0.0408593750002413;-0.311499999999808;-1.86837500000018;-1.10236718749976;118.396828125;117.465078125001;0.678406250000493;0.110906250000096;1.5160947560111
