root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;11505.2;1765301;368.2;42.417751
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;9384.8;1718638.2;349.2;41.202667
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;9156.4;1719340.2;346.4;57.5575
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;v0.9.1;9314.6;1703221;464;39.438667
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;11971;1765138;472.2;29.106667
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;10381.6;1733688.4;428.2;32.807818
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;9587.4;1714891.4;446;34.663111
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;1;v0.9.1;9149.6;1699103.4;421;38.430444
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;12067.8;1771115;503.4;30.124231
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;10985.2;1739535.6;440.4;33.950182
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;9463.4;1722221.4;447.8;35.973556
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;9196.8;1722057;418.4;38.100222
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;11863.8;1765301;441.8;28.45394
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;10460.4;1748624.8;459.2;32.900182
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;9696;1765086.4;436.4;36.998
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;9390.4;1764394;464.2;35.887778
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;11992.2;1765138;482.4;26.996363
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;10405.2;1734037.2;440.2;34.298545
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;9643.4;1749459.2;450;36.031778
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;9141;1704269.2;417.8;36.511111
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;11933.6;1771115;449.4;28.728333
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;10390;1753335.6;438.6;33.902182
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;9478.6;1723626.6;438.6;34.917111
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;9327.8;1751988.8;451.2;37.886889
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;11877;1765301;446.6;26.582273
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;10474.6;1731493.8;468.2;33.735637
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;9504.6;1718619;445.8;37.460222
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;9273.6;1730356.4;444;36.171111
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;11963;1765138;417.4;26.90803
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;10523.8;1768429.2;448.4;34.605091
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;9839.6;1753246.6;460.4;36.216444
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;9352.2;1750986.2;446.4;38.326222
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;11922.6;1771115;462.8;30.293333
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;10376.8;1737056;443.4;31.255636
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;9667.4;1721478;443.4;35.166667
