root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;threads_1;threads_2;threads_3;threads_4;threads;tokenParts_0;tokenParts_1;tokenParts_2;tokenParts;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;energy;cpu
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.013918;0.022859;0.044716;0.035564
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;v0.9.1;0.016108;0.023579;0.054556;0.067959
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.003388;0;0.047939;0.059578
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.014098;0.019492;0.036294;0.049234
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.003707;0.00052;0.019903;0.041955
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.002558;0.0007;0.033301;0.055422
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.010371;0;0.044064;0.049342
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.011056;0.023437;0.021086;0.056615
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.013285;0.018801;0.028214;0.038902
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;v0.9.1;0.013527;0.019074;0.030253;0.031375
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.001485;0;0.083882;0.068253
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.013432;0.019261;0.063555;0.040856
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.018193;0.02187;0.071033;0.039746
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;v0.9.1;0.013732;0.020521;0.028911;0.04755
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.003098;0;0.02368;0.068892
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.03709;0.023724;0.024591;0.06195
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.021645;0.022548;0.023756;0.036978
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.008798;0.023971;0.066828;0.033361
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.012206;0;0.035034;0.051972
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.010099;0.0005;0.073026;0.053843
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.036613;0.015958;0.024558;0.057017
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;v0.9.1;0.014197;0.018625;0.046746;0.012995
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.002299;0;0.039593;0.004601
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.022404;0.023309;0.043839;0.032573
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.030249;0.022706;0.041844;0.042082
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;v0.9.1;0.004296;0.000417;0.028887;0.013715
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.002615;0;0.060688;0.048634
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.012414;0.019982;0.067701;0.057285
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.024496;0.022958;0.026572;0.061919
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.036569;0.024582;0.053071;0.02286
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.001508;0;0.042087;0.072501
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.012949;0.022876;0.074277;0.058118
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.033193;0.021546;0.030075;0.055443
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;v0.9.1;0.017307;0.023378;0.058205;0.071235
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.070377;0;0.074641;0.046795
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.016197;0.0228;0.032345;0.035068
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.038667;0.015444;0.037014;0.074504
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;v0.9.1;0.023028;0.019297;0.087022;0.034495
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.002027;0;0.05148;0.07762
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.016787;0.022269;0.048142;0.030748
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.04623;0.023837;0.038997;0.063734
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.013406;0.024055;0.066851;0.05544
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.014547;0;0.04035;0.014303
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.031955;0.02377;0.036413;0.02629
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.002825;0.000806;0.022523;0.011342
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;v0.9.1;0.013777;0.024858;0.030628;0.034331
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;v0.9.1;0.001681;0;0.072935;0.028215
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;v0.9.1;0.018667;0.020115;0.05399;0.05778
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;v0.9.1;0.029511;0.022145;0.026927;0.028031
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;v0.9.1;0.005541;0.002845;0.035694;0.050124
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.024759;0;0.050073;0.066062
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.01941;0.023117;0.055243;0.048132
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.017172;0.024342;0.032154;0.018648
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.009373;0.021065;0.039071;0.0547
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.002685;0;0.040013;0.060144
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.016606;0.021047;0.053295;0.036573
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.016448;0.020007;0.03475;0.064797
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;v0.9.1;0.015755;0.022998;0.065446;0.044679
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;v0.9.1;0.001908;0;0.021494;0.025934
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;v0.9.1;0.012492;0.020091;0.042506;0.02859
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;v0.9.1;0.023124;0.023557;0.042854;0.021541
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;v0.9.1;0.013628;0.023828;0.054555;0.019747
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.036199;0;0.065757;0.073936
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.017932;0.020123;0.068239;0.024098
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.013207;0.021575;0.034362;0.075027
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.009726;0.020331;0.038021;0.05786
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.030171;0;0.057989;0.365144
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.023686;0.022392;0.064552;0.007926
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.017485;0.02163;0.031732;0.032065
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;v0.9.1;0.012065;0.020374;0.081778;0.062291
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;v0.9.1;0.016295;0;0.011834;0.035689
1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;v0.9.1;0.017706;0.022993;0.043082;0.045918
1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;1;v0.9.1;0.01495;0.021518;0.037906;0.06664
1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;v0.9.1;0.030751;0.018585;0.020542;0.05206
1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;v0.9.1;0.002156;0;0.019571;0.076418
