revision,performance
5.6.10,130.41836
5.6.13,137.31134
5.6.15,128.538
5.6.17,134.01876
5.6.20,136.31284
5.6.22,134.17906
5.6.24,127.38806
5.6.26,125.45012
5.7.9,134.1415
5.7.11,145.64534
5.7.14,139.18026
5.7.17,144.02428
5.7.18,134.50928
5.7.20,142.74904
5.7.21,141.49774
5.7.22,139.8895
8.0.12,270.36552
8.0.13,292.09058
8.0.15,286.4934
8.0.17,291.94614
