root;delayedInnodbLogFlush;delayedInnodbLogWrite;innodbFlushMethod;fsyncFlush;dsyncFlush;directFlush;binaryLog;innodbDoubleWrite;tempTableSize_256;tempTableSize_4096;tempTableSize_65536;tempTableSize;innodbBufferPoolSize_8;innodbBufferPoolSize_64;innodbBufferPoolSize_512;innodbBufferPoolSize;innodbLogBufferSize_1;innodbLogBufferSize_8;innodbLogBufferSize_64;innodbLogBufferSize;revision;performance;cpu
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;5.5.23;125.04642;0.854001
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;5.5.23;133.98556;1.208289
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;5.5.23;121.63772;1.400382
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;5.5.23;126.7752;0.855103
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;5.5.23;127.46778;1.224568
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;1;5.5.23;113.53816;1.334474
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;1;5.5.23;124.6387;1.030046
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;1;5.5.23;114.61552;1.037945
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;1;5.5.23;115.0342;1.185563
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;5.5.23;128.35488;0.936226
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;5.5.23;121.80596;1.366431
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;1;5.5.23;128.78376;1.290487
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;5.5.23;116.55088;1.312847
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;5.5.23;116.44044;1.23865
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;5.5.23;129.08016;1.176501
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;5.5.23;118.85442;1.059199
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;5.5.23;123.08648;0.908464
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;5.5.23;120.19892;1.114108
1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;5.5.23;129.7693;1.386798
1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;5.5.23;116.3145;1.009857
1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;5.5.23;122.54524;1.033605
1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;5.5.23;114.89862;1.480793
1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;5.5.23;123.62826;1.302768
1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;5.5.23;113.63584;1.385502
1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;5.5.23;125.55854;1.31389
1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;5.5.23;126.40986;1.163695
1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;5.5.23;124.81936;1.232008
1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;1;5.5.23;119.9873;1.503631
1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;1;5.5.23;129.36576;1.181392
