revision;quality;goodQuality;rtQuality;twoPass;goodQuality * twoPass;rtQuality * twoPass;constantBitrate * twoPass;threads_2 * twoPass;threads_3 * twoPass;threads_4 * twoPass;goodQuality * threads_2;rtQuality * threads_2;goodQuality * threads_3;rtQuality * threads_3;goodQuality * threads_4;rtQuality * threads_4;constantBitrate * goodQuality;constantBitrate * rtQuality;constantBitrate * threads_2 * twoPass;constantBitrate * threads_3 * twoPass;constantBitrate * threads_4 * twoPass;goodQuality * threads_2 * twoPass;rtQuality * threads_2 * twoPass;goodQuality * threads_3 * twoPass;rtQuality * threads_3 * twoPass;goodQuality * threads_4 * twoPass;rtQuality * threads_4 * twoPass;constantBitrate * goodQuality * threads_2;constantBitrate * rtQuality * threads_2;constantBitrate * goodQuality * threads_3;constantBitrate * rtQuality * threads_3;constantBitrate * goodQuality * threads_4;constantBitrate * rtQuality * threads_4;goodQuality * noAltRef;noAltRef * rtQuality;threads_2;threads_3;threads_4;constantBitrate * goodQuality * twoPass;constantBitrate * rtQuality * twoPass;error
v0.9.1;156064.594444444;-68065.9134891494;-142492.763537884;-10374.747102103;11547.4132870376;89262.4302314832;95513.581981983;1881.66054054158;4590.14576576672;5041.36099099236;24593.7272008862;53924.4659923118;34724.6929692861;77741.487511198;37643.6856382713;84884.7599072801;25907.52327459;-3513.56551683171;-25219.8910810801;-39369.9615315311;-43770.8319819815;6226.12611111034;-26256.277592595;7974.67425925891;-39760.2420370389;8830.27462962856;-43705.4164814846;-3118.67662399223;3736.453200568;-4584.7044570885;4698.19905168305;-5138.23053579911;4796.07648174342;5.03333333286424;-84.518518517879;-57375.2166666692;-82390.2666666688;-89906.8833333358;-46659.6828703703;-23769.7908333344;6.3299477220564
v0.9.2;141540.84074074;-62389.7834531922;-129687.610841108;-21150.8789389398;18313.8077314818;88698.6176388908;33431.4463963969;8395.80874874924;13092.1377677683;14069.8236836845;22937.5966624525;49615.1533876015;32273.1739818772;70935.9486407484;35163.6002054696;77451.7450397807;26724.6632026758;524.669830357562;-9432.71342342229;-14125.2973873867;-15419.8047747739;-1478.78703703727;-31312.2648148169;-2274.07425925931;-45369.4494444461;-2272.42277777836;-49389.3046296325;-7284.71925082959;-1026.87714556773;-9741.92944523455;-892.341725936747;-10553.7781887152;-964.86415362879;13.6902777772111;-12.3217592588975;-51330.3870370391;-73818.0740740759;-80648.4796296317;-26891.0764814815;-6862.65574074185;4.15598360397436
v0.9.5;137713.868518518;-59096.0261603729;-126207.049064858;-22784.4195545554;22118.0397685188;91706.0707870388;28380.2020720726;9653.79300300339;14341.330585586;15305.7975925932;21563.5278541705;47942.9372108984;30432.2600231815;68934.8554422867;33170.609356726;75330.6184210565;24145.4004688894;-265.868536957179;-9279.6504504493;-12728.7445045039;-13824.2166666658;-5149.90814814828;-33896.7592592612;-5914.93296296293;-48112.5775925941;-5979.58444444488;-52181.0216666693;-4954.09274537676;22.8440967272204;-7406.89412043606;4.40763394946089;-8267.42982456159;-75.103508773348;-65.8736111116409;34.0513888892456;-49896.0444444464;-71867.7166666684;-78526.2425925946;-26039.8762962963;-6716.85518518633;4.15073169963962
v0.9.6;74142.2759259258;-19706.6403666833;-63798.4427789646;4199.35257632607;4261.78037037032;48890.283796297;-962.510337837775;1605.82670670666;1417.52434434431;1684.53271771784;8134.93029081723;29751.2495890643;10684.4145751015;38721.159799274;11904.8221563672;43236.2969127041;3504.23258521636;-271.173701332669;258.31621621674;305.716126126447;552.442342342732;-1217.16111111105;-23532.9177777786;-1666.8729629629;-30398.962222223;-1946.7342592594;-34118.3362962977;-1189.07169274525;135.523044096224;-1353.26989094352;55.4248458984193;-1659.22579421533;35.7987671876006;-27.1050925929694;-59.6935185183219;-31551.698148149;-41214.9574074081;-46142.3055555564;-2250.84490740759;418.220370369794;1.28910578232453
v0.9.7;69407.0814814814;-23857.2917483282;-60156.2788097324;-2285.40165040074;7865.16722222225;45130.9462037045;4943.44700450464;5703.31824824832;7504.87033033045;7701.87802302325;10928.7049180761;29305.3540408845;13629.3462199043;37407.2146409578;14986.9677071812;41235.2835941223;7038.27979295048;461.927989832234;-2419.62945945891;-4140.64621621591;-3984.32567567527;-2761.1074074074;-22264.014074075;-3581.76759259256;-28677.6409259266;-3991.30148148165;-31722.6150000013;-3095.82835467035;-863.559933618337;-3398.2405879563;-794.810763395069;-3910.37245139883;-920.333854908176;73.8726851848727;94.2703703705435;-30814.4018518528;-39566.3388888897;-43702.0518518528;-4201.47194444455;411.513148147615;2.49601242032403
v0.9.7-p1;63855.3444444444;-18764.077728387;-54395.722221565;3179.00226726701;3522.88634259259;39484.8293981487;189.046576576608;3114.53008508509;4626.31558558562;4314.21340840856;8558.13718718732;26050.1575575589;10920.7903350721;33856.6084637278;11997.1463542493;37166.6932353423;1936.55175306849;-50.0888902057698;-1137.22054054005;-1825.13783783755;-1587.88459459424;-1376.70759259259;-19303.3496296304;-2096.95555555555;-25475.323333334;-2200.40037037053;-27863.0361111123;-1006.88918918909;-218.689189189642;-1216.20289236601;-234.816927453868;-1468.31863442396;-347.264248459552;1.87962962932107;37.1611111112796;-27836.6981481489;-36254.183333334;-39894.7111111119;-318.718240740879;954.298981480983;0.986792569848676
v1.0.0;60126.374074074;-17026.0863837529;-51424.6857258586;2322.81102727709;4229.21902777772;38750.3541203709;1372.666463964;3756.91886386385;4389.63031031031;4544.09005005015;7513.70186502301;24413.3195063497;9618.15100626955;31596.199544282;10673.6889600129;35096.9275565054;569.413508244749;-281.550770507135;-1512.78846846801;-1651.28099099073;-1409.0197297294;-1900.93777777774;-18914.451296297;-2245.99074074071;-24366.7562962969;-2690.01722222234;-27300.39388889;-50.2481744901816;134.720246561917;-154.087197723996;119.126837363578;-337.266808914226;25.1559981028265;-18.8666666669488;0.469907407575763;-26226.5796296304;-33993.2648148154;-37765.0185185192;-352.978796296417;270.306666666196;0.652155645979261
v1.1.0;62927.2462962962;-17927.1617966659;-54211.6278054384;-3492.92027152174;4596.53134259259;41038.9685648155;1265.33128378386;5158.67518518515;6722.47347347348;7555.05687187197;8143.48684210533;25653.2464912294;10452.9865734156;33307.3226357946;11388.8367341027;36922.0495021353;746.79025999652;-244.640685421964;-846.826666666173;-930.599909909618;-898.975225224845;-2041.33666666657;-19725.3566666674;-2616.54444444435;-25655.3529629636;-2930.85740740746;-28671.7783333345;-272.273684210444;77.4070175433674;-313.88425794212;88.5806543384149;-374.691986723652;40.2009957319635;-23.2828703706596;-7.93425925908476;-27567.9685185193;-35824.0685185192;-39780.05925926;-580.132777777863;83.2360185180223;0.564495355801888
v1.2.0;62657.6999999999;-18220.3706357681;-54144.6953677376;-3555.5794031534;5072.26898148145;41118.4601851858;1166.60213963971;5406.30675175173;7245.28490490494;7835.03595595607;8564.17890258687;26431.1269532704;11186.0428375745;34390.5831884525;12047.5996917973;38030.3213292256;1375.05608634918;48.2462910281762;-1201.71720720671;-1162.39018017989;-1016.82783783745;-2531.88351851841;-20533.5214814822;-3480.51148148139;-26789.4114814821;-3379.78500000005;-29615.4294444456;-448.287434803137;-249.424276908978;-446.022712185821;-262.903413940382;-840.299383594195;-323.620436226297;-1.02037037065628;-9.39583333316427;-28342.0314814823;-36846.8148148155;-40813.1037037045;-609.695370370476;478.486574073578;0.787550985388475
v1.3.0;65547.4666666665;-18868.238873743;-56985.7715491823;-4240.81604729754;5411.23768518517;43650.1098148155;1362.03876126135;5956.17594094091;7820.08540040043;8516.29655155166;8830.49122016759;27804.6618829369;11537.133414994;36177.9339023243;12494.1771561037;40109.1663373917;1426.62959933584;38.550505769249;-1358.02558558506;-1328.2745045042;-1145.56162162122;-2743.01111111099;-21832.9053703711;-3670.04407407394;-28380.458333334;-3643.11740740746;-31516.156851853;-450.193551446088;-207.283025130906;-435.318681839687;-261.134471313552;-877.572830725549;-345.095637743638;-29.4444444447476;-3.14490740723495;-29747.8148148156;-38666.8814814822;-42900.3574074082;-701.141666666765;436.635277777254;0.779789473675074
v1.4.0;64157.809259259;-18225.0286562887;-55231.356166036;-2543.42893268284;4543.90680555557;2263.70004629704;960.08934684689;4808.50157157148;6361.6531381383;6915.72731731745;8412.46769137581;26698.5916679852;10880.7100442551;34656.3588746652;11912.9387413732;38477.5278251952;1971.96471998291;-550.29137163415;-845.356846846358;-800.720720720341;-666.243153152806;-2065.25203703716;-4383.26092592665;-2799.60277777808;-5954.57555555625;-2853.32685185204;-6594.3294444454;-767.59464201037;547.335182550372;-838.3311996206;542.126695115782;-1193.57377904219;481.366571834192;8.55648148126561;17.1134259260767;-29053.0148148155;-37588.5277777784;-41721.8740740747;-914.762314814886;-386.055740741062;1.12810518581364
v1.5.0;62066.7518518516;-17037.0410825307;-53472.9969304846;-2630.74939689705;4383.09740740742;2342.84157407478;1047.07175675681;4708.33337337328;6217.83522522536;6835.8026926928;7885.86869237679;25885.2630393565;10223.251343449;33686.9396475433;11166.988738739;37364.029479481;1926.23031320771;-569.783916810928;-886.270450449983;-848.150450450084;-742.872792792467;-2033.91240740751;-4275.08833333402;-2739.04111111139;-5835.34888888955;-2760.22333333352;-6483.25074074167;-742.922569938297;568.0405879558;-827.547131341789;493.165149359513;-1156.34414414413;518.489189188411;-9.55138888909529;3.30138888903835;-28125.1481481488;-36454.483333334;-40494.046296297;-914.869351851889;-424.512314815121;1.18583964041815
v1.6.1;58821.4499999997;-13819.3238284344;-50078.9792621582;419.180551801714;1371.14856481482;-1138.30393518458;2088.88889639642;3280.37264764754;4206.85347347358;5008.7575975977;6810.20991254431;24305.7008482179;8693.78901006296;31276.5424213697;9900.00194668372;35074.8348901547;-3582.89678757724;-1098.48221642635;-1919.44936936895;-2000.31657657624;-1951.04630630603;-1046.50518518531;-2301.25129629694;-1499.96907407438;-3233.69388888951;-2156.92685185207;-4046.0994444453;1079.5838786155;1219.59089615878;1365.53679468947;1120.52626837325;1415.36647700334;1230.81910858152;4.1115740739013;-10.0768518516909;-26662.2629629636;-34187.8018518524;-38361.644444445;2583.00166666662;-644.649351852125;2.26402385620406
v1.7.0;58981.9444444442;-13908.2523134984;-50263.5554567739;445.44189564558;1379.11037037037;-1186.31435185125;2149.40065315317;3243.73913913903;4166.57217217228;5026.1574024025;6887.39138875736;24447.561564197;8749.85012380828;31413.2296559727;9942.21774142583;35242.8028291463;-3629.99166930107;-1134.30760497279;-1939.87198198156;-2046.01027026993;-2050.48036036008;-1068.41962962976;-2300.13629629692;-1490.28370370401;-3146.2114814821;-2185.52222222242;-4023.0505555564;1096.34314841161;1193.63613086717;1408.24049312474;1176.23698435239;1472.97562825985;1267.13878615383;-8.53981481498512;-9.36620370354507;-26777.5981481487;-34348.2370370376;-38514.1222222228;2598.92685185181;-641.20953703731;2.31401118719772
