revision,performance
2.1.0,763.9845722499999
2.1.2,740.819081
2.1.4,743.51744525
2.2.0,730.039141
2.2.1,739.4285645
2.2.2,729.05550125
2.3.0,549.48435375
2.3.18,560.3740585
2.3.9,580.60741575
2.4.0,521.2017617500001
2.4.3,519.1595952499999
2.4.6,514.06333425
