,performance,revision
0,452.316924,2.1.0
1,453.010094,2.1.0
2,468.462778,2.1.0
3,466.850721,2.1.0
4,456.227932,2.1.0
5,462.043198,2.1.0
6,465.329776,2.1.0
7,465.849977,2.1.0
8,502.427416,2.1.0
9,512.464051,2.1.0
10,505.724655,2.1.0
11,519.399657,2.1.0
12,571.576621,2.1.0
13,578.254103,2.1.0
14,589.716149,2.1.0
15,576.686636,2.1.0
16,451.131508,2.1.0
17,451.71455,2.1.0
18,458.832966,2.1.0
19,463.607302,2.1.0
20,453.841675,2.1.0
21,455.561843,2.1.0
22,458.572246,2.1.0
23,456.685358,2.1.0
24,488.659069,2.1.0
25,499.708884,2.1.0
26,503.988089,2.1.0
27,498.453698,2.1.0
28,550.983195,2.1.0
29,575.821376,2.1.0
30,574.259855,2.1.0
31,570.28416,2.1.0
32,454.399552,2.1.0
33,464.750695,2.1.0
34,465.047436,2.1.0
35,459.738218,2.1.0
36,447.604171,2.1.0
37,458.589905,2.1.0
38,466.290431,2.1.0
39,464.852651,2.1.0
40,492.649983,2.1.0
41,489.981616,2.1.0
42,501.465653,2.1.0
43,502.959821,2.1.0
44,552.139037,2.1.0
45,546.136834,2.1.0
46,570.531873,2.1.0
47,570.831178,2.1.0
48,441.157995,2.1.0
49,432.155669,2.1.0
50,443.23337,2.1.0
51,446.216984,2.1.0
52,432.748695,2.1.0
53,440.396638,2.1.0
54,447.36683,2.1.0
55,453.015684,2.1.0
56,478.459592,2.1.0
57,487.838993,2.1.0
58,493.137984,2.1.0
59,493.719933,2.1.0
60,540.678496,2.1.0
61,540.911134,2.1.0
62,554.867594,2.1.0
63,550.646997,2.1.0
64,441.125026,2.1.0
65,452.905371,2.1.0
66,455.350274,2.1.0
67,456.579606,2.1.0
68,442.321534,2.1.0
69,449.541102,2.1.0
70,441.123798,2.1.0
71,456.886552,2.1.0
72,485.548807,2.1.0
73,497.254171,2.1.0
74,497.209214,2.1.0
75,479.101202,2.1.0
76,559.286305,2.1.0
77,550.800556,2.1.0
78,570.231096,2.1.0
79,563.765761,2.1.0
80,425.077394,2.1.0
81,445.616593,2.1.0
82,445.992521,2.1.0
83,453.478678,2.1.0
84,439.790474,2.1.0
85,444.947446,2.1.0
86,453.904638,2.1.0
87,446.148445,2.1.0
88,469.959929,2.1.0
89,482.374362,2.1.0
90,479.4275,2.1.0
