root;WindowSize;CompressionLevel;performance;energy;memory;size;revision
1;21;5;0.009622;0.065533;0.029317;0.000000;0.3.0
1;22;5;0.001620;0.075684;0.008964;0.000000;0.3.0
1;23;5;0.001365;0.132819;0.006477;0.000000;0.3.0
1;24;5;0.002878;0.101601;0.006064;0.000000;0.3.0
1;10;6;0.003544;0.148506;0.011601;0.000000;0.3.0
1;11;6;0.008118;0.078760;0.008139;0.000000;0.3.0
1;12;6;0.010217;0.127940;0.018833;0.000000;0.3.0
1;13;6;0.007054;0.083300;0.011092;0.000000;0.3.0
1;14;6;0.002462;0.091204;0.016634;0.000000;0.3.0
1;15;6;0.004396;0.093001;0.011948;0.000000;0.3.0
1;16;6;0.004519;0.072978;0.011564;0.000000;0.3.0
1;17;6;0.009088;0.092783;0.011085;0.000000;0.3.0
1;18;6;0.001684;0.089528;0.038140;0.000000;0.3.0
1;19;6;0.004913;0.026882;0.005449;0.000000;0.3.0
1;20;6;0.002809;0.046161;0.053711;0.000000;0.3.0
1;21;6;0.002005;0.073131;0.008103;0.000000;0.3.0
1;22;6;0.003676;0.043453;0.012618;0.000000;0.3.0
1;23;6;0.002231;0.032905;0.008121;0.000000;0.3.0
1;24;6;0.006326;0.059221;0.006525;0.000000;0.3.0
1;10;7;0.016698;0.084062;0.002603;0.000000;0.3.0
1;11;7;0.014652;0.137909;0.005869;0.000000;0.3.0
1;12;7;0.009115;0.132714;0.006564;0.000000;0.3.0
1;13;7;0.014113;0.130073;0.006367;0.000000;0.3.0
1;14;7;0.004869;0.055117;0.005186;0.000000;0.3.0
1;15;7;0.003429;0.107294;0.005646;0.000000;0.3.0
1;16;7;0.004731;0.119564;0.003844;0.000000;0.3.0
1;17;7;0.005593;0.043850;0.005643;0.000000;0.3.0
1;18;7;0.008010;0.053734;0.004105;0.000000;0.3.0
1;19;7;0.013080;0.046541;0.022763;0.000000;0.3.0
1;20;7;0.016050;0.028372;0.028327;0.000000;0.3.0
1;21;7;0.003089;0.042217;0.009748;0.000000;0.3.0
1;22;7;0.007353;0.027851;0.004552;0.000000;0.3.0
1;23;7;0.012843;0.028729;0.005574;0.000000;0.3.0
1;24;7;0.009460;0.020208;0.007893;0.000000;0.3.0
1;10;8;0.072062;0.071784;0.003527;0.000000;0.3.0
1;11;8;0.003636;0.064222;0.003650;0.000000;0.3.0
1;12;8;0.006664;0.121751;0.002768;0.000000;0.3.0
1;13;8;0.001949;0.118965;0.001373;0.000000;0.3.0
1;14;8;0.003689;0.140205;0.004222;0.000000;0.3.0
1;15;8;0.005175;0.039669;0.003510;0.000000;0.3.0
1;16;8;0.003876;0.055029;0.003241;0.000000;0.3.0
1;17;8;0.013644;0.059408;0.003443;0.000000;0.3.0
1;18;8;0.002495;0.037550;0.015101;0.000000;0.3.0
1;19;8;0.006442;0.036003;0.005354;0.000000;0.3.0
1;20;8;0.006762;0.022277;0.017746;0.000000;0.3.0
1;21;8;0.004193;0.051702;0.014998;0.000000;0.3.0
1;22;8;0.008566;0.020365;0.006355;0.000000;0.3.0
1;23;8;0.007791;0.031039;0.002244;0.000000;0.3.0
1;24;8;0.007908;0.020641;0.002385;0.000000;0.3.0
1;10;9;0.004706;0.043775;0.001730;0.000000;0.3.0
1;11;9;0.002774;0.076580;0.001170;0.000000;0.3.0
1;12;9;0.001693;0.094290;0.002444;0.000000;0.3.0
1;13;9;0.003845;0.145052;0.001213;0.000000;0.3.0
1;14;9;0.006254;0.041117;0.002162;0.000000;0.3.0
1;15;9;0.002989;0.047922;0.000670;0.000000;0.3.0
1;16;9;0.012549;0.029470;0.001783;0.000000;0.3.0
1;17;9;0.006085;0.030608;0.019243;0.000000;0.3.0
1;18;9;0.014369;0.039875;0.013987;0.000000;0.3.0
1;19;9;0.002679;0.046089;0.008256;0.000000;0.3.0
1;20;9;0.017432;0.062377;0.010134;0.000000;0.3.0
1;21;9;0.014492;0.023300;0.010905;0.000000;0.3.0
1;22;9;0.039030;0.036534;0.012028;0.000000;0.3.0
1;23;9;0.039913;0.030777;0.004037;0.000000;0.3.0
1;24;9;0.022344;0.023058;0.004313;0.000000;0.3.0
1;10;10;0.001848;0.017618;0.000292;0.000000;0.3.0
1;11;10;0.001390;0.017796;0.001583;0.000000;0.3.0
1;12;10;0.003166;0.024930;0.001410;0.000000;0.3.0
1;13;10;0.002640;0.021548;0.002319;0.000000;0.3.0
1;14;10;0.001827;0.019657;0.000849;0.000000;0.3.0
1;15;10;0.003094;0.017823;0.001358;0.000000;0.3.0
1;16;10;0.004550;0.023373;0.000777;0.000000;0.3.0
1;17;10;0.002338;0.017250;0.013561;0.000000;0.3.0
1;18;10;0.001726;0.014252;0.007396;0.000000;0.3.0
1;19;10;0.003225;0.016119;0.002191;0.000000;0.3.0
1;20;10;0.003427;0.015097;0.000826;0.000000;0.3.0
1;21;10;0.004267;0.011355;0.003096;0.000000;0.3.0
1;22;10;0.010817;0.019426;0.003587;0.000000;0.3.0
1;23;10;0.010361;0.019436;0.001081;0.000000;0.3.0
1;24;10;0.003222;0.018784;0.001352;0.000000;0.3.0
1;10;11;0.002554;0.019220;0.001761;0.000000;0.3.0
1;11;11;0.002231;0.017271;0.001116;0.000000;0.3.0
1;12;11;0.002311;0.015581;0.001902;0.000000;0.3.0
1;13;11;0.005040;0.015490;0.002040;0.000000;0.3.0
1;14;11;0.003560;0.017543;0.001469;0.000000;0.3.0
1;15;11;0.002384;0.017322;0.001582;0.000000;0.3.0
1;16;11;0.003470;0.017856;0.001561;0.000000;0.3.0
1;17;11;0.002145;0.018928;0.001418;0.000000;0.3.0
1;18;11;0.002381;0.016976;0.010608;0.000000;0.3.0
1;19;11;0.000988;0.015289;0.001689;0.000000;0.3.0
1;20;11;0.001488;0.010738;0.004929;0.000000;0.3.0
1;21;11;0.004729;0.015694;0.002169;0.000000;0.3.0
1;22;11;0.011466;0.006242;0.001551;0.000000;0.3.0
1;23;11;0.012150;0.009308;0.001091;0.000000;0.3.0
1;24;11;0.007003;0.020260;0.000855;0.000000;0.3.0
1;10;0;0.005158;0.243999;0.035189;0.000000;0.4.0
1;11;0;0.007949;0.152227;0.027201;0.000000;0.4.0
1;12;0;0.010335;0.215441;0.040415;0.000000;0.4.0
1;13;0;0.020484;0.042182;0.043701;0.000000;0.4.0
1;14;0;0.010228;0.032372;0.023386;0.000000;0.4.0
1;15;0;0.012217;0.031404;0.019177;0.000000;0.4.0
1;16;0;0.020460;0.032372;0.038456;0.000000;0.4.0
1;17;0;0.047346;0.025753;0.017941;0.000000;0.4.0
1;18;0;0.013142;0.027099;0.041774;0.000000;0.4.0
1;19;0;0.025641;0.031497;0.028276;0.000000;0.4.0
1;20;0;0.012844;0.226728;0.023334;0.000000;0.4.0
1;21;0;0.014541;0.225533;0.081254;0.000000;0.4.0
1;22;0;0.014541;0.096913;0.050716;0.000000;0.4.0
1;23;0;0.012812;0.227004;0.042582;0.000000;0.4.0
1;24;0;0.013866;0.280062;0.012812;0.000000;0.4.0
1;10;1;0.007598;0.068604;0.015559;0.000000;0.4.0
1;11;1;0.009617;0.249020;0.032244;0.000000;0.4.0
1;12;1;0.010564;0.334885;0.030047;0.000000;0.4.0
1;13;1;0.010037;0.693621;0.035139;0.000000;0.4.0
1;14;1;0.012844;0.245304;0.031073;0.000000;0.4.0
1;15;1;0.037150;0.371007;0.008424;0.000000;0.4.0
1;16;1;0.013245;0.244115;0.018460;0.000000;0.4.0
1;17;1;0.011411;0.166968;0.006667;0.000000;0.4.0
1;18;1;0.006325;0.367570;0.037062;0.000000;0.4.0
1;19;1;0.025074;0.175144;0.019989;0.000000;0.4.0
1;20;1;0.036066;0.405451;0.015326;0.000000;0.4.0
1;21;1;0.010879;0.582835;0.076738;0.000000;0.4.0
1;22;1;0.027780;0.444765;0.052168;0.000000;0.4.0
1;23;1;0.038269;0.352536;0.036039;0.000000;0.4.0
1;24;1;0.021850;0.155120;0.010892;0.000000;0.4.0
1;10;2;0.017898;0.108333;0.011507;0.000000;0.4.0
1;11;2;0.013319;0.145333;0.028339;0.000000;0.4.0
1;12;2;0.011114;0.169429;0.027360;0.000000;0.4.0
1;13;2;0.014635;0.130167;0.014863;0.000000;0.4.0
1;14;2;0.009885;0.133324;0.027323;0.000000;0.4.0
1;15;2;0.022114;0.305347;0.012684;0.000000;0.4.0
1;16;2;0.012565;0.058600;0.013321;0.000000;0.4.0
1;17;2;0.014540;0.183208;0.031088;0.000000;0.4.0
1;18;2;0.011114;0.167215;0.019657;0.000000;0.4.0
1;19;2;0.011114;0.309796;0.018368;0.000000;0.4.0
1;20;2;0.007022;0.109503;0.012624;0.000000;0.4.0
1;21;2;0.011186;0.095269;0.012512;0.000000;0.4.0
1;22;2;0.006412;0.431944;0.003991;0.000000;0.4.0
1;23;2;0.009785;0.504600;0.002519;0.000000;0.4.0
1;24;2;0.008959;0.465705;0.002110;0.000000;0.4.0
1;10;3;0.010615;0.048773;0.019008;0.000000;0.4.0
1;11;3;0.006861;0.300868;0.023845;0.000000;0.4.0
1;12;3;0.007819;0.123649;0.022308;0.000000;0.4.0
1;13;3;0.007113;0.375112;0.011695;0.000000;0.4.0
1;14;3;0.005009;0.173097;0.027173;0.000000;0.4.0
1;15;3;0.015066;0.142684;0.017320;0.000000;0.4.0
1;16;3;0.007001;0.331584;0.025830;0.000000;0.4.0
1;17;3;0.005601;0.119422;0.023251;0.000000;0.4.0
1;18;3;0.007663;0.200021;0.008900;0.000000;0.4.0
1;19;3;0.005758;0.130619;0.017711;0.000000;0.4.0
1;20;3;0.006734;0.277676;0.013538;0.000000;0.4.0
1;21;3;0.006636;0.198918;0.004765;0.000000;0.4.0
